Adresse,Anbieter,Ausstattung,Badezimmer,Balkon/ Terrasse,Baujahr,Bezugsfrei ab,Einbauküche,Endenergiebedarf,Energieausweis,Energieausweistyp,Energieeffizienzklasse,Energieverbrauchskennwert,Etage,Gesamtmiete,Heizkosten,Heizungsart,Kaltmiete,Kaution o. Genossenschaftsanteile,Modernisierung/ Sanierung,Nebenkosten,Objektzustand,Personenaufzug,Schlafzimmer,Titel,Url,Wesentliche Energieträger,Wohnfläche ca.,Zimmer,Straße,PLZ,Hausnummer,Bezirk,Ortsteil,Kaltmiete pro m²,Bezirk Abkürzung,Ortsteil Abkürzung
"Ebereschenallee 51, 14050 Berlin, Charlottenburg (Charlottenburg)",,,1.0,,,,True,,,,,,2 von 4,1300.0,0.0,,924.0,2772,,376.0,,,,"Stilvolle 3-Zimmer-Wohnung, große vollmöblierte und voll ausgestattete Wohnung in Charlottenburg",https://www.immobilienscout24.de/expose/115417980,,82.0,3,Ebereschenallee,14050 Berlin,51,Charlottenburg,Charlottenburg,11.268292682926829,ChWi,Charl
"Hausotterstraße 91, 13409 Berlin, Reinickendorf (Reinickendorf)",KWL Wohnbauten GmbH Hagenstraße 1 14193 Berlin,,1.0,,1985.0,,True,,liegt vor,,,,2 von 4,634.68,54.0,Öl-Heizung,437.0,1311.00,,143.68,Gepflegt,True,1.0,"schöne 2 Zimmer-Whg für die Generation 60 +, Vermietung nur mit WBS-Senioren",https://www.immobilienscout24.de/expose/104335253,,64.27,2,Hausotterstraße,13409 Berlin,91,Reinickendorf,Reinickendorf,6.799439863077642,Rein,Reind
"10825 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,1.0,,1909.0,,True,,liegt zur Besichtigung vor,,,,0 von 4,643.15,60.0,Öl-Heizung,493.15,3x NKM,,90.0,,,,"Sonnige 1-Zimmer-Maisonette-Wohnung mit EBK in Schöneberg, Berlin",https://www.immobilienscout24.de/expose/115598256,Öl,56.0,1,,10825 Berlin,,Schöneberg,Schöneberg,8.80625,TSch,Schön
"Brandenburgische Straße 53, 10707 Berlin, Wilmersdorf (Wilmersdorf)",,,,,,,True,,,,,,,2100.0,,,1850.0,3x NKM,,,,True,,"1.850 €, 90 m², 3 Zimmer",https://www.immobilienscout24.de/expose/115182628,,90.0,3,Brandenburgische Straße,10707 Berlin,53,Wilmersdorf,Wilmersdorf,20.555555555555557,ChWi,Wilmd
"14089 Berlin, Kladow (Spandau) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,1.0,,,,True,,,,,,1 von 1,1052.0,0.0,Zentralheizung,852.0,2556,,200.0,,,,"Ansprechende 2,5-Zimmer-Wohnung mit Einbauküche und Balkon in Kladow (Spandau), Berlin",https://www.immobilienscout24.de/expose/115633303,,71.0,"2,5",,14089 Berlin,,Kladow,Spandau,12.0,Span,Spand
"Stallschreiberstraße 28, 10179 Berlin, Kreuzberg (Kreuzberg)",Danza Real Estate e.K. Kurfürstendamm 71 10709 Berlin,,2.0,,2019.0,,True,,liegt vor,Bedarfsausweis,,,2 von 6,1897.0,0.0,Fußbodenheizung,1530.0,4590.00,,267.0,Erstbezug,True,,Erstbezug in Mitte mit Balkon und Stellplatz,https://www.immobilienscout24.de/expose/115419967,Fernwärme,81.5,3,Stallschreiberstraße,10179 Berlin,28,Kreuzberg,Kreuzberg,18.773006134969325,FrKr,Kreuz
"Am Schloßhof 10, 12683 Berlin, Biesdorf (Marzahn)",Herkomerstr. 5 12435 Berlin,,1.0,,1997.0,,True,,liegt vor,Verbrauchsausweis,,95.8,1 von 5,430.0,30.0,Zentralheizung,350.0,1050.00,2011.0,50.0,Gepflegt,True,1.0,Wohnen Am Schloßhof in Biesdorf,https://www.immobilienscout24.de/expose/62328081,Fernwärme,35.0,"1,5",Am Schloßhof,12683 Berlin,10,Biesdorf,Marzahn,10.0,MaHe,Marza
"Dunckerstrasse 72, 10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)",,,1.0,,,,True,,liegt zur Besichtigung vor,,,,3 von 5,1050.0,0.0,,898.33,1050.00,,151.67,Neuwertig,,,SUCHE NACHMIETER - Neuwertige 2-Zimmer-Wohnung in Traumlage in Prenzlauer Berg,https://www.immobilienscout24.de/expose/115420668,,47.0,2,Dunckerstraße,10437 Berlin,72,Prenzlauer Berg,Prenzlauer Berg,19.11340425531915,Pank,Prenz
"10247 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,1.0,,,,True,,liegt zur Besichtigung vor,,,,5 von 5,2225.0,,Fußbodenheizung,2000.0,3 NKM,2019.0,225.0,Vollständig renoviert,True,,Fabelhafte Dachgeschosswohnung mit Aufdachterrasse und 360 Grad Blick über Berlin.,https://www.immobilienscout24.de/expose/115468686,,115.0,4,,10247 Berlin,,Friedrichshain,Friedrichshain,17.391304347826086,FrKr,Frhai
"Im Lichtenhain 4, 10317 Berlin, Lichtenberg (Lichtenberg)",,,2.0,,2020.0,,,,liegt vor,Bedarfsausweis,,,1 von 4,1295.0,0.0,,1080.0,3 Netto Kaltmieten,,215.0,Erstbezug,True,,"Erstbezug: Exklusive, geräumige 2-Zimmer-Wohnung mit West-Balkon in Lichtenberg, Berlin",https://www.immobilienscout24.de/expose/115523247,,75.0,2,Im Lichtenhain,10317 Berlin,4,Lichtenberg,Lichtenberg,14.4,Lich,Liber
"10713 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,2.0,,1856.0,,True,,laut Gesetz nicht erforderlich,,,,,1900.0,0.0,Zentralheizung,1500.0,3 Monatsmieten,,400.0,,True,,"Exklusive, geräumige 3-Zimmer-Wohnung mit 2 Balkonen und Einbauküche, Berlin",https://www.immobilienscout24.de/expose/113864830,,140.0,3,,10713 Berlin,,Wilmersdorf,Wilmersdorf,10.714285714285714,ChWi,Wilmd
"Hubertusallee 76, 14193 Berlin, Grunewald (Wilmersdorf)",Peter und Christine Greffin GbR,,2.0,,,,True,,liegt zur Besichtigung vor,,,,,4140.0,0.0,Wärmepumpe,3640.0,3 Monats-Kaltmieten,,500.0,Neuwertig,,,Exclusive Dachgeschoß-Wohnung in Berlin-Grunewald (Schmargendorf),https://www.immobilienscout24.de/expose/110359642,Erdwärme,260.0,5,Hubertusallee,14193 Berlin,76,Grunewald,Wilmersdorf,14.0,ChWi,Wilmd
"Militscher Weg 21, 12555 Berlin, Köpenick (Köpenick)",,,1.0,,2019.0,,True,,liegt vor,,,,2 von 2,1160.0,0.0,Fußbodenheizung,1010.0,3030.00,2019.0,150.0,Neuwertig,,,Erstbezug 3 Zimmer im Obergeschoß mit separatem Eingang Süd Westlage,https://www.immobilienscout24.de/expose/111929165,Gas,65.0,3,Militscher Weg,12555 Berlin,21,Köpenick,Köpenick,15.538461538461538,TrKö,Köpen
"Kantstraße 132, 10625 Berlin, Charlottenburg (Charlottenburg)",Altec Berlin GmbH,,1.0,,1910.0,,True,,liegt vor,Verbrauchsausweis,,120.0,3 von 5,1600.0,0.0,Etagenheizung,1400.0,3500,,200.0,,,,"3-Zimmer-Wohnung mit Balkon und Einbauküche in Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/111912296,Gas,90.0,3,Kantstraße,10625 Berlin,132,Charlottenburg,Charlottenburg,15.555555555555555,ChWi,Charl
"13469 Berlin, Waidmannslust (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,1.0,,2017.0,,,,,,,,1 von 2,823.0,0.0,,673.0,3 Nettokaltmieten,,150.0,,,,Zweitbezug nach Neubau- 2-Zimmer-Wohnung mit Balkon in Berlin-Waidmannslust,https://www.immobilienscout24.de/expose/115419382,,48.75,2,,13469 Berlin,,Waidmannslust,Reinickendorf,13.805128205128206,Rein,Reind
"Jülicherstraße 16, 13357 Berlin, Wedding (Wedding)",,,,,,,True,,,,,,,706.0,0.0,,548.0,1644,,158.0,,True,,Helles möbliertes 1-Zimmer Apartment für Studenten / bright furnished 1 room apartment for students,https://www.immobilienscout24.de/expose/115511258,,26.11,1,Jülicher Straße,13357 Berlin,16,Wedding,Wedding,20.988127154346994,Mitt,Weddg
"Lessingstrasse 25, 13158 Berlin, Rosenthal (Pankow)",,,1.0,,1980.0,,,,laut Gesetz nicht erforderlich,,,,4 von 4,872.0,,,652.0,1290,2020.0,220.0,Vollständig renoviert,True,,"Schöne drei Zimmer Dachterassen Wohnung in Berlin, Wilhelmsruh",https://www.immobilienscout24.de/expose/115407350,,56.0,"2,5",Lessingstraße,13158 Berlin,25,Rosenthal,Pankow,11.642857142857142,Pank,Panko
"10999 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Berlin Blau,,,,1956.0,,True,,liegt vor,,,,6 von 6,1670.0,0.0,,1450.0,3 NKM,2019.0,220.0,,True,,TOP sanierte zwei-Zimmer Wohnung am Kottbusser-Tor,https://www.immobilienscout24.de/expose/114560811,,78.45,2,,10999 Berlin,,Kreuzberg,Kreuzberg,18.483110261312937,FrKr,Kreuz
"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,1.0,,,,True,,liegt vor,Verbrauchsausweis,,,4 von 5,1260.0,0.0,Zentralheizung,1070.0,3 NKM,,190.0,,,,"2,5 Zimmer DG-Maisonette, Prenzl Berg, nähe Arnim-Platz - PROVISIONSFREI",https://www.immobilienscout24.de/expose/115610790,Erdgas leicht,81.0,"2,5",,10439 Berlin,,Prenzlauer Berg,Prenzlauer Berg,13.209876543209877,Pank,Prenz
"10961 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",Berlin Blau,,,,,,True,,liegt vor,,,,1,1935.0,,,1785.0,3 NKM,2019.0,150.0,Erstbezug nach Sanierung,,,**TOP sanierte zwei-Zimmer Wohnung in Kreuzberg**,https://www.immobilienscout24.de/expose/114655453,,89.23,2,,10961 Berlin,,Kreuzberg,Kreuzberg,20.004482797265492,FrKr,Kreuz
"Glambecker Ring 87, 12679 Berlin, Marzahn (Marzahn)",,,1.0,,1982.0,,,,liegt zur Besichtigung vor,,,,2 von 5,694.33,0.0,Fernwärme,484.33,1452.99,2015.0,210.0,Saniert,,,"Sanierte 3-Zimmer-Wohnung mit Balkon in Marzahn, Berlin",https://www.immobilienscout24.de/expose/115619819,Fernwärme,81.4,3,Glambecker Ring,12679 Berlin,87,Marzahn,Marzahn,5.949999999999999,MaHe,Marza
"Max-Dohrn-Str. 3, 10589 Berlin, Charlottenburg (Charlottenburg)",Kontaktaufnhame von 16-18 Uhr,,1.0,,,,True,,,,,,0 von 3,1144.0,0.0,Zentralheizung,960.0,1980,2017.0,184.0,Modernisiert,,2.0,"3-Zimmer Erdg.wohnung in Schloss-Nähe, Charlottenburg: 80m² mit Terrasse",https://www.immobilienscout24.de/expose/67798855,Gas,80.0,3,Max-Dohrn-Straße,10589 Berlin,3,Charlottenburg,Charlottenburg,12.0,ChWi,Charl
"Strassmannstr. 6, 10249 Berlin, Friedrichshain (Friedrichshain)",,,1.0,,2005.0,,True,,liegt zur Besichtigung vor,,,,6 von 7,980.0,0.0,,830.0,2400,2014.0,150.0,Gepflegt,True,,Möbliert und befristet auf 2 Jahre - Schöne Wohnung mit Balkon im Friedrichshain,https://www.immobilienscout24.de/expose/115278027,,59.0,2,Straßmannstraße,10249 Berlin,6,Friedrichshain,Friedrichshain,14.067796610169491,FrKr,Frhai
"Chemnitzer Straße 108, 12621 Berlin, Kaulsdorf (Hellersdorf)",Forellenstraße 12a 83700 Rottach - Egern,,1.0,,1996.0,,,,,,,,1 von 3,638.0,80.0,Zentralheizung,498.0,2400,,60.0,Gepflegt,,1.0,Singles und Paare aufgepasst!!! Wohnen im Grünen !! Besichtigung nur nach tel. Vereinbarung,https://www.immobilienscout24.de/expose/79771010,,55.72,2,Chemnitzer Straße,12621 Berlin,108,Kaulsdorf,Hellersdorf,8.93754486719311,MaHe,Helld
"Mommsenstraße 21, 10629 Berlin, Charlottenburg (Charlottenburg)",,,1.0,,,,True,,liegt vor,,,,,930.0,0.0,,789.0,2152.41,2017.0,141.0,,,,"Wunderschöne 2-Zimmer-Altbauwohnung mit Balkon und Einbauküche in Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/115621676,,55.0,2,Mommsenstraße,10629 Berlin,21,Charlottenburg,Charlottenburg,14.345454545454546,ChWi,Charl
"Rungestraße 21, 10179 Berlin, Mitte (Mitte)",Rungestr 21C 10179 Berlin,,2.0,,2015.0,,True,,liegt vor,Verbrauchsausweis,,,,2200.0,0.0,Fußbodenheizung,1750.0,6150,2015.0,450.0,Neuwertig,True,3.0,"1.750 €, 110 m², 4 Room(s)",https://www.immobilienscout24.de/expose/115125330,Fernwärme,110.0,4,Rungestraße,10179 Berlin,21,Mitte,Mitte,15.909090909090908,Mitt,Mitte
"Radickestraße 22, 12489 Berlin, Adlershof (Treptow)",,,2.0,,2017.0,,True,,liegt vor,Bedarfsausweis,,,0 von 0,1464.0,0.0,Fußbodenheizung,1230.0,3690.00,,234.0,Neuwertig,True,,"Stilvolle,neuwertige 4-Zimmer-Wohnung mit Balkon und EBK in Adlershof (Treptow), Berlin",https://www.immobilienscout24.de/expose/115409952,Erdgas leicht,96.0,4,Radickestraße,12489 Berlin,22,Adlershof,Alt-Treptow,12.8125,TrKö,Alttr
"10249 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,1.0,,,,,,,,,,1 von 4,1650.0,0.0,,1400.0,4200.-- Euro,,250.0,,,,Frisch sanierte 3-Zimmer-Wohnung mit Balkon in Friedrichshain Nähe Volkspark,https://www.immobilienscout24.de/expose/115516441,,87.14,3,,10249 Berlin,,Friedrichshain,Friedrichshain,16.06610052788616,FrKr,Frhai
"Kaiserin-Augusta-Allee 4, 10553 Berlin, Tiergarten (Tiergarten)","Jl. Janur Hijau VII Blok TC02 No.7, RT.7/RW.1 7 14240 Kota Jkt Utara",,1.0,,,,,,,,,,,485.0,,Elektro-Heizung,485.0,4200.-- Euro,,,Gepflegt,,1.0,Student apartment up for 1.5 months of rent,https://www.immobilienscout24.de/expose/115622736,,17.0,1,Kaiserin-Augusta-Allee,10553 Berlin,4,Tiergarten,Tiergarten,28.529411764705884,Mitt,Tierg
"Prinz-Eugen-Straße 3, 13347 Berlin, Wedding (Wedding)",,,1.0,,,,True,,,,,,1 von 4,1075.0,0.0,Etagenheizung,950.0,2850,,125.0,,,,Nachmieter gesucht für schöne 2 ZKB in Berlin Mitte/Wedding mit Ablöse,https://www.immobilienscout24.de/expose/115219770,,66.0,2,Prinz-Eugen-Straße,13347 Berlin,3,Wedding,Wedding,14.393939393939394,Mitt,Weddg
"Semmelweißstr. 43, 12524 Berlin, Altglienicke (Treptow)",,,1.0,,2019.0,,True,,liegt zur Besichtigung vor,,,,1 von 3,978.91,0.0,Blockheizkraftwerke,836.6,3 Nettokaltmieten,2020.0,142.31,Erstbezug,True,,Erstbezug im Parkquartier Altglienicke nahe Adlershof- 2-Zimmer-Whg. mit v.a.EBK u. großem SO-Balkon,https://www.immobilienscout24.de/expose/115390177,Fernwärme,61.97,2,Semmelweisstraße,12524 Berlin,43,Altglienicke,Alt-Treptow,13.500080684202034,TrKö,Alttr
"Genthiner Straße 8, 10785 Berlin, Tiergarten (Tiergarten)",,,1.0,,1908.0,,,,,,,,1 von 5,2040.0,0.0,Etagenheizung,1632.0,3 Nettokaltmieten,,408.0,Gepflegt,,,Schöne 5-Zimmer-Wohnung mit grossem Balkon am Tiergarten und Landwehrkanal,https://www.immobilienscout24.de/expose/114157533,Fernwärme,136.0,5,Genthiner Straße,10785 Berlin,8,Tiergarten,Tiergarten,12.0,Mitt,Tierg
"10823 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,1.0,,1898.0,,True,,liegt vor,Verbrauchsausweis,,,,995.0,0.0,,845.0,3 Nettokaltmieten,,150.0,Modernisiert,,,Altbauperle im Akazienkiez,https://www.immobilienscout24.de/expose/115635409,Öl,79.16,2,,10823 Berlin,,Schöneberg,Schöneberg,10.674583122789288,TSch,Schön
"Groenerstraße 9, 13585 Berlin, Spandau (Spandau)",,,,,,,,,liegt vor,Bedarfsausweis,,,,1010.0,0.0,,800.0,3000,,210.0,,,,"Ansprechende 3-Zimmer-Wohnung zur Miete in Spandau, Berlin",https://www.immobilienscout24.de/expose/115591646,,80.0,3,Groenerstraße,13585 Berlin,9,Spandau,Spandau,10.0,Span,Spand
"14199 Berlin, Schmargendorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,2.0,,2020.0,,True,,liegt zur Besichtigung vor,,,,3 von 5,2065.6,0.0,Blockheizkraftwerke,1765.6,5300,,300.0,Erstbezug,True,,Erstbezug - Wohlfühlen auf den ersten Blick in Berlin-Schmargendorf,https://www.immobilienscout24.de/expose/115390175,Gas,88.28,3,,14199 Berlin,,Schmargendorf,Wilmersdorf,20.0,ChWi,Wilmd
"10247 Berlin, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,2.0,,2019.0,,,,liegt vor,,,,4 von 6,1930.0,0.0,Zentralheizung,1580.0,3 Kaltmieten,,350.0,Neuwertig,True,,Provisionsfreie Neubau-4-Zimmer-Wohnung mit großem Süd-Ost-Balkon in Berlin Friedrichshain,https://www.immobilienscout24.de/expose/115497380,,106.5,4,,10247 Berlin,,Friedrichshain,Friedrichshain,14.835680751173708,FrKr,Frhai
"12355 Berlin, Rudow (Neukölln) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,,,2016.0,,True,,liegt vor,Bedarfsausweis,,,,1600.0,0.0,Fußbodenheizung,1500.0,3 Kaltmieten,2019.0,150.0,Neuwertig,,,"1.500 €, 105 m², 4 Zimmer",https://www.immobilienscout24.de/expose/85940120,"Solar, Gas",105.0,4,,12355 Berlin,,Rudow,Neukölln,14.285714285714286,Neuk,Neukö
"12524 Berlin, Altglienicke (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,1.0,,2019.0,,True,,liegt vor,,,,1 von 3,1095.0,0.0,Fußbodenheizung,945.0,2835,,150.0,Erstbezug,True,,Erstbezug - Ruhige 2-Zimmer-Wohnung mit Sonnenterrasse und Garten,https://www.immobilienscout24.de/expose/114382996,Fernwärme,60.49,2,,12524 Berlin,,Altglienicke,Alt-Treptow,15.62241692841792,TrKö,Alttr
"Englische Straße 20, 10587 Berlin, Charlottenburg (Charlottenburg)",,,1.0,,2019.0,,True,,liegt zur Besichtigung vor,,,,2 von 5,1200.0,0.0,Fußbodenheizung,1020.0,3 Kaltmieten,,180.0,Erstbezug,True,,Neubau – ERSTBEZUG – 2-Zimmerwohnung in bester Lage – 2 OG,https://www.immobilienscout24.de/expose/115606148,Fernwärme,48.65,2,Englische Straße,10587 Berlin,20,Charlottenburg,Charlottenburg,20.966084275436796,ChWi,Charl
"Halskestr. 41, 12163 Berlin, Steglitz (Steglitz)",,,1.0,,1910.0,,True,,liegt zur Besichtigung vor,,,,3 von 3,890.0,90.0,,700.0,2100.00,2020.0,100.0,Erstbezug nach Sanierung,,,Helle Altbauwohnung im Gartenhaus,https://www.immobilienscout24.de/expose/115606611,,67.6,2,Halskestraße,12163 Berlin,41,Steglitz,Steglitz,10.355029585798817,StZe,Stegl
"Leipziger Str 43, 10117 Berlin - Mitte, Mitte (Mitte)",,,1.0,,1973.0,,True,,liegt zur Besichtigung vor,,,,4 von 19,1480.0,0.0,Zentralheizung,1290.0,2580,2019.0,190.0,Modernisiert,True,,"2-Zimmer-Wohnung mit Balkon in zentrale Lage in Berlin - Mitte, komplett möbliert (Löffelfertig)",https://www.immobilienscout24.de/expose/115159677,Strom,50.0,2,Leipziger Straße,10117 Berlin - Mitte,43,Mitte,Mitte,25.8,Mitt,Mitte
"Heubnerweg 7 A, 14059 Berlin, Charlottenburg (Charlottenburg)",Zillestraße 99a 10585 Berlin,,1.0,,,,True,,liegt vor,,,,1 von 5,2190.0,0.0,Fußbodenheizung,1950.0,2580,,,,True,,"1.950 €, 112 m², 4 Zimmer",https://www.immobilienscout24.de/expose/114260668,,112.0,4,Heubnerweg,14059 Berlin,7A,Charlottenburg,Charlottenburg,17.410714285714285,ChWi,Charl
"Stallschreiberstraße 27, 10179 Berlin, Kreuzberg (Kreuzberg)",G&E Property Invest GmbH Krausenstraße 37 10117 Berlin,,2.0,,2019.0,,True,,liegt vor,Bedarfsausweis,,,2 von 5,2971.0,0.0,Zentralheizung,2563.0,2580,,408.0,Erstbezug,True,3.0,Erstbezug in 4-Zimmerwohnung zur langfristigen Miete zwischen Mitte und Kreuzberg,https://www.immobilienscout24.de/expose/115162655,Fernwärme,116.5,4,Stallschreiberstraße,10179 Berlin,27,Kreuzberg,Kreuzberg,22.0,FrKr,Kreuz
"Essener strasse 11, 10555 Berlin, Tiergarten (Tiergarten)",,,3.0,,2005.0,,True,,liegt zur Besichtigung vor,,,,5 von 5,4400.0,,Etagenheizung,4000.0,2580,,400.0,Neuwertig,True,5.0,Zentrale Lage - ca. 270 m2 Dachgeschoss WHG im Grünen nähe Bundesratufer Ohne Provision,https://www.immobilienscout24.de/expose/84505512,Gas,270.0,6,Essener Straße,10555 Berlin,11,Tiergarten,Tiergarten,14.814814814814815,Mitt,Tierg
"Manteuffelstraße 68, 10999 Berlin, Kreuzberg (Kreuzberg)",,,,,,,True,,,,,,,912.0,,,790.0,2580,,,,,,"790 €, 35 m², 1 Zimmer",https://www.immobilienscout24.de/expose/115503414,,35.0,1,Manteuffelstraße,10999 Berlin,68,Kreuzberg,Kreuzberg,22.571428571428573,FrKr,Kreuz
"Alt-Reinickendorf 34, 13407 Berlin, Reinickendorf (Reinickendorf)",HC&C Hotel- u. Hauscontrolling & Consulting GmbH,,1.0,,1910.0,,True,,liegt vor,Verbrauchsausweis,,195.0,1 von 3,1364.0,90.0,Zentralheizung,1119.0,2580,2019.0,155.0,Erstbezug nach Sanierung,,1.0,Komplett sanierte großzügige 3 Zimmer Wohnung möbliert zu vermieten,https://www.immobilienscout24.de/expose/112509816,Gas,94.04,3,Alt-Reinickendorf,13407 Berlin,34,Reinickendorf,Reinickendorf,11.89919183326244,Rein,Reind
"Lindenstr. - Haus 2 - 28 B, 12555 Berlin-Köpenick, Köpenick (Köpenick)",12555 Berlin,,1.0,,2017.0,,True,,liegt zur Besichtigung vor,,,,0 von 4,950.0,0.0,Blockheizkraftwerke,750.0,2580,,200.0,Neuwertig,True,1.0,"Keine Maklergebühren ! Sehr schöne, geräumige zwei Zimmer Wohnung in Berlin-Köpenick. Kein Makler",https://www.immobilienscout24.de/expose/96920887,Gas,60.72,2,Lindenstraße - Haus,12555 Berlin-Köpenick,2,Köpenick,Köpenick,12.351778656126482,TrKö,Köpen
"Malteserstr. 148, 12277 Berlin, Marienfelde (Tempelhof)",ENCA Projekt- und Facilitymanagement GmbH,,1.0,,2019.0,,True,,laut Gesetz nicht erforderlich,,,,,552.5,39.0,Gas-Heizung,494.0,1482,2019.0,19.5,Erstbezug,True,1.0,"Neubezug ab sofort: 1-3 Zimmer-Whg. inkl. EBK, Fussbodenheizung uvm. in Marienfelde (Tempelhof)",https://www.immobilienscout24.de/expose/114929774,Gas,26.0,1,Malteserstraße,12277 Berlin,148,Marienfelde,Tempelhof,19.0,TSch,Temp
"Körnerstraße 19, 13156 Berlin, Niederschönhausen (Pankow)",,,2.0,,2013.0,,True,,liegt vor,Verbrauchsausweis,,,1 von 4,1986.0,0.0,Blockheizkraftwerke,1549.0,5000,2019.0,286.0,Neuwertig,True,,"1.549 €, 109 m², 4 Zimmer",https://www.immobilienscout24.de/expose/115023086,,109.0,4,Körnerstraße,13156 Berlin,19,Niederschönhausen,Pankow,14.211009174311927,Pank,Panko
"Döringstraße 2, 10245 Berlin (Friedrichshain), Friedrichshain (Friedrichshain)",,,1.0,,2016.0,,True,,liegt vor,Bedarfsausweis,,,4 von 5,1450.0,0.0,Zentralheizung,1300.0,2600,2019.0,150.0,Neuwertig,True,,Exklusiver NEUBAU im grünen SIMON-DACH KIEZ 3 zimmer,https://www.immobilienscout24.de/expose/115611746,Fernwärme,95.0,3,Döringstraße,10245 Berlin (Friedrichshain),2,Friedrichshain,Friedrichshain,13.68421052631579,FrKr,Frhai
"Hechelstraße 14, 13403 Berlin, Reinickendorf (Reinickendorf)",AMS Allgemeine Maklerservice GmbH,,,,,,True,,liegt vor,Verbrauchsausweis,,78.0,,1290.0,0.0,Zentralheizung,1090.0,3 MKM,,200.0,Modernisiert,,,3 Zi Whg. mit Wintergarten und Wohnküche in sehr gepflegtem Haus,https://www.immobilienscout24.de/expose/115271033,Gas,89.29,3,Hechelstraße,13403 Berlin,14,Reinickendorf,Reinickendorf,12.207414044125882,Rein,Reind
"Rochowstraße 14, 10245 Berlin, Friedrichshain (Friedrichshain)",Rösler Hausverwaltung Sudermannstr. 62 12623 Berlin,,1.0,,,,True,,,,,,2 von 5,1010.0,0.0,Zentralheizung,900.0,3 Kaltmieten,2012.0,110.0,Saniert,,1.0,2 Raum Wohnung an der Spree,https://www.immobilienscout24.de/expose/65109297,Fernwärme,68.0,2,Rochowstraße,10245 Berlin,14,Friedrichshain,Friedrichshain,13.235294117647058,FrKr,Frhai
"13587 Berlin, Spandau (Spandau) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,,1.0,,1960.0,,True,,liegt vor,Verbrauchsausweis,,107.0,2 von 3,450.0,0.0,Gas-Heizung,350.0,3 Kaltmieten,,100.0,Gepflegt,,,Helle Wohnung in gepflegter Wohnanlage am Spandauer Stadtwald,https://www.immobilienscout24.de/expose/115635598,,48.5,"1,5",,13587 Berlin,,Spandau,Spandau,7.216494845360825,Span,Spand
"Königsallee 44a, 14193 Berlin, Grunewald (Wilmersdorf)",,,,,1960.0,,True,,liegt vor,,,,0 von 2,1249.0,0.0,Zentralheizung,999.0,3747,2020.0,250.0,Vollständig renoviert,,,2 Zi. App. mit 60 qm Gartenterrasse in zentraler Lage im Grunewald,https://www.immobilienscout24.de/expose/115390750,Fernwärme,60.0,2,Koenigsallee,14193 Berlin,44A,Grunewald,Wilmersdorf,16.65,ChWi,Wilmd
"Erich-Nehlhans-Straße 21, 10247 Berlin, Friedrichshain (Friedrichshain)",,,1.0,,2019.0,,,,liegt vor,,,,1 von 5,1757.5,0.0,Fußbodenheizung,1520.0,4000,,237.5,Erstbezug,True,,"Erstbezug: freundliche 3-Zimmer-Wohnung mit Balkon in Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/114919142,,95.0,3,Erich-Nehlhans-Straße,10247 Berlin,21,Friedrichshain,Friedrichshain,16.0,FrKr,Frhai
"Kaiser-Friedrich-Straße 105, 10585 Berlin, Charlottenburg (Charlottenburg)",,,,,,,True,,,,,,0 von 6,2500.0,,Fernwärme,2000.0,3000,2015.0,,,True,,Exklusive 4-Zimmer-EG als Büroeinheit in Berlin,https://www.immobilienscout24.de/expose/94857662,Fernwärme,108.0,4,Kaiser-Friedrich-Straße,10585 Berlin,105,Charlottenburg,Charlottenburg,18.51851851851852,ChWi,Charl
