Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adreese
Stilvoll möblierte Altbauwohnung nahe KaDeWe,https://www.immobilienscout24.de/expose/114845656,2.500 €,305 €,in Nebenkosten enthalten,2.805 €,3 Netto-Kaltmieten,5 von 5,114 m²,4,3,1,,True,1910,,,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"10787 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
WG-geeignete 3 Zimmer Wohnung im Wedding in Panke-Nähe,https://www.immobilienscout24.de/expose/114966650,"455,86 €",165 €,50 €,"670,86 €",3 x Nettokaltmiete,3 von 5,"76,04 m²",3,3,1,True,True,1970,,Renovierungsbedürftig,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,125 kWh/(m²*a),ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Wollankstraße 37, 13359 Berlin, Wedding (Wedding)"
Exklusiv möblierte Altbauwohnung nahe KaDeWe,https://www.immobilienscout24.de/expose/114845895,2.400 €,295 €,in Nebenkosten enthalten,2.695 €,3 Netto-Kaltmieten,5 von 5,110 m²,3,2,1,,True,1910,,,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"10787 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
geniale Dachgeschoss Wohnung in BERLIN MITTE*Lift*edle Küche*Terrasse*2 Bäder,https://www.immobilienscout24.de/expose/115200631,1.955 €,195 €,110 €,2.260 €,3 Monatsnettokaltmieten,5 von 5,108 m²,4,2,1,True,True,,zuletzt 2019,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Schnorr & Partner Immobilien Walter-Benjamin-Platz 5 10629 Berlin,"Alt Moabit 48a, 10555 Berlin, Tiergarten (Tiergarten)"
Sanierte großzügige 5-Zimmer Altbau-Komfortwohnung in der Sophienstraße,https://www.immobilienscout24.de/expose/115041138,"2.902,46 €","324,53 €",in Nebenkosten enthalten,"3.226,99 €",,1,"131,93 m²",5,4,1,,True,1879,zuletzt 2020,Erstbezug nach Sanierung,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19c 10629 Berlin,"Sophienstraße 9, 10178 Berlin, Mitte (Mitte)"
Möbliertes Design Apartment nahe Gendarmenmarkt -Maisonette-Klima-Sauna-offener Kamin-,https://www.immobilienscout24.de/expose/115043900,5.981 €,675 €,in Nebenkosten enthalten,6.656 €,,8,225 m²,5,3,3,True,True,2000,zuletzt 2018,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19 c 10629 Berlin,"Behrenstraße 28, 10117 Berlin, Mitte (Mitte)"
!! Außergewöhnlich !! 3 Dachgeschoß-Flächen - für Kreative !! SEHR attraktive Konditionen !! 1A-Lage,https://www.immobilienscout24.de/expose/114619449,"2.338,60 €",702 €,in Nebenkosten enthalten,"3.040,60 €",3 Kaltmieten,,"233,86 m²",5,,,True,,,,,Zentralheizung,Fernwärme,laut Gesetz nicht erforderlich,,,MA Master Alliance Unternehmensberatung GmbH Immobilienvertrieb Scharnhorststraße 2A 10115 Berlin,"10719 Berlin - Kurfürstendamm, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Gemütliches Apartment im ruhigen Seitenflügel,https://www.immobilienscout24.de/expose/115201028,450 €,60 €,0 €,510 €,3 Nettokaltmieten,3 von 4,"38,86 m²",1,1,1,,True,1908,,Gepflegt,Etagenheizung,Gas,liegt vor,Bedarfsausweis,,Trad Immobilien GmbH Lützowufer 26 10787 Berlin,"Kurstraße 15, 13585 Berlin, Spandau (Spandau)"
Erstbezug nach Sanierung: 2-Zimmer-Wohnung mit Einbauküche nach Ihren Wünschen + Balkon in Mitte,https://www.immobilienscout24.de/expose/113582318,"1.602,13 €","274,65 €",in Nebenkosten enthalten,"1.876,78 €",,2 von 4,"91,55 m²",2,1,1,True,True,1914,,Erstbezug nach Sanierung,Fußbodenheizung,Fernwärme,,,,D.K. Real Estate GmbH Wilmersdorfer Str. 95 10629 Berlin,"Habersaathstraße 15, 10115 Berlin, Mitte (Mitte)"
Erstbezug mit Sonnenterrasse im Mulberry Yards,https://www.immobilienscout24.de/expose/113592590,1.650 €,250 €,in Nebenkosten enthalten,1.900 €,3 Nettokalt-Mieten,0,90 m²,3,2,2,True,,,,Erstbezug,,,liegt zur Besichtigung vor,,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"10707 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Stilvoll möblierte Wohnung nahe KaDeWe,https://www.immobilienscout24.de/expose/113649632,5.400 €,600 €,in Nebenkosten enthalten,6.000 €,,4 von 4,224 m²,7,6,2,True,True,,zuletzt 2019,,Fernwärme,,liegt vor,Bedarfsausweis,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"10787 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Erstbezug nach Sanierung: 3-Zimmer-Wohnung mit Einbauküche nach Ihren Wünschen + 2 Balkonen in Mitte,https://www.immobilienscout24.de/expose/113582322,2.058 €,"352,80 €",in Nebenkosten enthalten,"2.410,80 €",,3 von 5,"117,6 m²",3,2,1,True,True,1914,,Erstbezug nach Sanierung,Fußbodenheizung,Fernwärme,,,,D.K. Real Estate GmbH Wilmersdorfer Str. 95 10629 Berlin,"Habersaathstraße 15, 10115 Berlin, Mitte (Mitte)"
Erstbezug im exklusiven „Mulberry Yards“,https://www.immobilienscout24.de/expose/113729729,1.480 €,250 €,in Nebenkosten enthalten,1.730 €,,0 von 5,90 m²,3,2,2,True,True,2019,zuletzt 2019,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"10707 Berlin, Wilmersdorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
3-Zimmerwohnung in Charlottenburg,https://www.immobilienscout24.de/expose/113867572,860 €,160 €,90 €,1.110 €,3 Nettokaltmieten,7,91 m²,3,,2,True,True,1969,,Gepflegt,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Angerburger Allee 43, 14055 Berlin, Charlottenburg (Charlottenburg)"
"In NACHBARSCHAFT zum ""Deutschen Theater Berlin"" und ""CHARITÉ Campus Mitte""!",https://www.immobilienscout24.de/expose/114096303,"1.602,45 €","224,34 €","inkl. 160,25 €","1.987,04 €",3 Nettokaltmieten,,"106,83 m²",3,,1,True,True,1996,,,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,92 kWh/(m²*a),berlinraum Schönhauser Allee 126 10437 Berlin,"Schumannstraße 19, 10117 Berlin, Mitte (Mitte)"
Heimwerker aufgepasst: 2- Zimmer Wohnung zur freien Gestaltung!,https://www.immobilienscout24.de/expose/114089620,"345,07 €",120 €,50 €,"515,07 €",3 Nettokaltmieten,2 von 4,"53,35 m²",2,,1,,,1969,,Renovierungsbedürftig,Etagenheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Antonienstraße 18-20, 13403 Berlin, Reinickendorf (Reinickendorf)"
Erstbezug in liebevoll saniertem Reihenendhaus,https://www.immobilienscout24.de/expose/114281850,2.600 €,350 €,in Nebenkosten enthalten,2.950 €,3 Nettokalt-Mieten,,100 m²,4,2,2,,True,1957,zuletzt 2019,Erstbezug nach Sanierung,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"14199 Berlin, Schmargendorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Moderne Maisonette-Wohnung in Bestlage,https://www.immobilienscout24.de/expose/113980590,2.184 €,250 €,in Nebenkosten enthalten,2.434 €,6552,4,112 m²,3,2,1,True,True,2015,,,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"10629 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Lichtdurchflutete 2-Zimmerwohnung am Ostpreußendamm! Interessiert?,https://www.immobilienscout24.de/expose/114325023,"734,50 €",179 €,in Nebenkosten enthalten,"913,50 €",3 NKM,2,"56,5 m²",2,,,,,unbekannt,,Gepflegt,,,,,,Nudelmann & Friends Immobilien GmbH Kurfürstendamm 133 10711 Berlin,"Ostpreußendamm 159 a, 12207 Berlin, Lichterfelde (Steglitz)"
MÖBLIERTE APARTMENTS FÜR STUDENTEN UND BERUFSPENDLER! PAUSCHALMIETE INKL. STROM UND INTERNET!,https://www.immobilienscout24.de/expose/114321010,420 €,130 €,in Nebenkosten enthalten,550 €,3 x Nettomiete,0 von 2,"20,3 m²",1,,,True,,2017,,Neuwertig,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,Max Müller Immobilien Bartningallee 26 10557 Berlin,"Tino-Schwierzina-Str. 30a, 13089 Berlin, Heinersdorf (Weißensee)"
3-Zimmer-Wohung mit Altbau-Charme in Berlin-Wedding!,https://www.immobilienscout24.de/expose/114354469,1.141 €,142 €,65 €,1.348 €,"3.291,00 EUR",3 von 4,"81,51 m²",3,2,1,,,,,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,"156,23 kWh/(m²*a)",Holtz Immobilien GmbH Hertzstraße 12 13158 Berlin,"Burgsdorfstraße 5, 13353 Berlin, Wedding (Wedding)"
*Erstbezug nach Sanierung* Helle 2-Zimmer-Wohnung mit großem Balkon,https://www.immobilienscout24.de/expose/114391749,693 €,160 €,in Nebenkosten enthalten,853 €,"3 KM (2.079,00 €)",1 von 3,"69,3 m²",2,1,1,,,1965,zuletzt 2019,Saniert,Öl-Heizung,Öl,liegt zur Besichtigung vor,,,City Home Immobilien Verwaltungs GmbH Friedrichstraße 61 10117 Berlin,"Pichelsdorfer Straße 59, 13595 Berlin, Spandau (Spandau)"
Schöne Dachgeschosswohnung im Weddinger Kiez!,https://www.immobilienscout24.de/expose/114410180,1.077 €,139 €,63 €,1.279 €,"3.231,00 EUR",5 von 5,"86,18 m²",3,3,1,,,,,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,"180,43 kWh/(m²*a)",Holtz Immobilien GmbH Hertzstraße 12 13158 Berlin,"Soldiner Straße 35, 13359 Berlin, Wedding (Wedding)"
Luxuswohnung in Mitte - Wohnen am Spittelmarkt,https://www.immobilienscout24.de/expose/114514143,5.000 €,465 €,in Nebenkosten enthalten,5.465 €,"15.000,00",7 von 7,"186,15 m²",5,3,2,True,True,2017,,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,DAHLER & COMPANY Berlin GmbH & Co. KG Kurfürstendamm 196 10707 Berlin,"10117 Berlin / Mitte, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
!! Außergewöhnlich !! 3 Dachgeschoß-Flächen - für Kreative !! SEHR attraktive Konditionen !! 1A-Lage,https://www.immobilienscout24.de/expose/114604259,"1.542,90 €",464 €,in Nebenkosten enthalten,"2.006,90 €",3 Kaltmieten,,"154,29 m²",3,,,True,,,,,Zentralheizung,Fernwärme,laut Gesetz nicht erforderlich,,,MA Master Alliance Unternehmensberatung GmbH Immobilienvertrieb Scharnhorststraße 2A 10115 Berlin,"10719 Berlin - Kurfürstendamm, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
www.schnorr-immobilien.de:riesige Dachgeschoss Wohnung BERLIN MITTE*Lift*edle Küche*Terrasse*2 Bäder,https://www.immobilienscout24.de/expose/115202829,2.575 €,260 €,145 €,2.980 €,3 Monatsnettokaltmieten,5 von 5,142 m²,4,2,1,True,True,,zuletzt 2019,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Schnorr & Partner Immobilien Walter-Benjamin-Platz 5 10629 Berlin,"Alt Moabit 48b, 10555 Berlin, Tiergarten (Tiergarten)"
No.1 Charlottenburg – Erstbezug an der Spree,https://www.immobilienscout24.de/expose/114580300,1.200 €,235 €,in Nebenkosten enthalten,1.435 €,,2,53 m²,2,1,1,True,True,2019,zuletzt 2019,Erstbezug,Fernwärme,,,,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"10623 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Erstbezug nach Sanierung: 3-Zimmer-Wohnung mit inbauküche nach Ihren Wünschen + 2 Balkonen in Mitte,https://www.immobilienscout24.de/expose/113582313,"1.994,10 €","351,90 €",in Nebenkosten enthalten,2.346 €,,2 von 5,"117,3 m²",3,2,1,True,True,1914,,Erstbezug nach Sanierung,Fußbodenheizung,Fernwärme,,,,D.K. Real Estate GmbH Wilmersdorfer Str. 95 10629 Berlin,"Habersaathstraße 15, 10115 Berlin, Mitte (Mitte)"
Exklusives Erdgeschoss mit Blick auf den Halensee,https://www.immobilienscout24.de/expose/114121737,3.670 €,470 €,in Nebenkosten enthalten,4.140 €,3 Nettokalt-Mieten,0 von 4,153 m²,"3,5",2,2,True,True,2019,,Erstbezug,Fußbodenheizung,,liegt vor,Bedarfsausweis,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"14193 Berlin, Grunewald (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
++TOP 2 ZIMMERWOHNUNG MIT BALKON IM HERZEN VON RUDOW SUCHT NETTE MIETER++,https://www.immobilienscout24.de/expose/93349687,"744,56 €","133,22 €","48,88 €","926,66 €","2233,68",1 von 3,"70,91 m²",2,1,1,,,1972,zuletzt 2018,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,121 kWh/(m²*a),Bärlin Housing GmbH 10711 Berlin,"Prierosser Str. 59d, 12357 Berlin, Rudow (Neukölln)"
Wohnung in Berlin,https://www.immobilienscout24.de/expose/115401536,"425,08 €","130,77 €","29,71 €","585,56 €","1.275,24 €",4,"63,54 m²",2,,,,,1977,,,,,,,,Hilfswerk-Siedlung GmbH Kirchblick 13 14129 Berlin,"Hinter den Gärten 10, 13589 Berlin, Spandau (Spandau)"
Stunning apartment in Berlin,https://www.immobilienscout24.de/expose/110062870,1.000 €,keine Angabe,keine Angabe,1.250 € (zzgl. Nebenkosten & Heizkosten),,,50 m²,2,,,,,,,,,,,,,LRC Group GmbH Schlüter Str. 45 10629 Berlin,"Emser Straße 10, 10719 Berlin, Wilmersdorf (Wilmersdorf)"
"Perfekte Pärchenwohnung mit 2 Balkonen, großer Kammer & tollem Ausblick",https://www.immobilienscout24.de/expose/99744943,529 €,100 €,70 €,699 €,Drei Nettokaltmieten,8 von 10,50 m²,2,1,1,True,,1964,zuletzt 2017,Erstbezug nach Sanierung,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Löwenberger Straße 2-4, 10315 Berlin, Friedrichsfelde (Lichtenberg)"
"Wohnen auf Zeit/Vollmöblierte Neubauwohnung mit herrlichem Wasserblick in gepflegter,ruhiger Anlage",https://www.immobilienscout24.de/expose/114602930,1.250 €,200 €,in Nebenkosten enthalten,1.450 €,3 Kaltmieten,2 von 3,109 m²,4,,,,,1995,,Gepflegt,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,113 kWh/(m²*a),MI-KA Immobilien GmbH Koenigsallee 56 14193 Berlin,"Dahmestr. 9, 12527 Berlin, Grünau (Köpenick)"
Erstvermietung: hochwertige Dachgeschosswohnung in Spreenähe,https://www.immobilienscout24.de/expose/111361524,"1.301,01 €","224,82 €","74,17 €",1.600 €,3 Netto-Kaltmieten,5 von 5,"86,47 m²",2,1,1,True,True,2019,zuletzt 2019,Erstbezug,Fernwärme,KWK fossil,liegt vor,Bedarfsausweis,,Dr. Succo & Hartmann Immobilien Königstraße 19 14109 Berlin,"Flutstraße 3, 12439 Berlin, Niederschöneweide (Treptow)"
Luxuswohnung in Mitte - Wohnen am Spittelmarkt!,https://www.immobilienscout24.de/expose/100758033,4.500 €,465 €,in Nebenkosten enthalten,4.965 €,"13.500,00",7 von 7,"186,15 m²",5,3,2,True,True,2017,,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,,DAHLER & COMPANY Berlin GmbH & Co. KG Kurfürstendamm 196 10707 Berlin,"10117 Berlin / Mitte, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Sonniges Wohnen nahe Kudamm - Geschmackvoll möbliert-Aufzug-Balkon-Einbauküche-Parkett -,https://www.immobilienscout24.de/expose/105034207,1.589 €,145 €,75 €,1.809 €,,2,"72,25 m²","3,5",3,1,True,True,1956,zuletzt 2019,Erstbezug nach Sanierung,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19c 10629 Berlin,"Sybelstraße 17, 10629 Berlin, Charlottenburg (Charlottenburg)"
"Wohnen in Mitte, im historischen Altbau mit toller Wohnküche!",https://www.immobilienscout24.de/expose/107451688,"1.586,08 €","317,22 €","inkl. 148,70 €","1.903,30 €",3 Nettokaltmieten,1 von 4,"99,13 m²",2,1,1,,,unbekannt,,Saniert,Zentralheizung,,,,,Nudelmann & Friends Immobilien GmbH Kurfürstendamm 133 10711 Berlin,"Auguststraße 92, 10117 Berlin, Mitte (Mitte)"
Familienfreundlicher Altbau in Berlin-Treptow - Zwei Nettokalmieten frei wohnen,https://www.immobilienscout24.de/expose/113177656,1.086 €,163 €,nicht in Nebenkosten enthalten,1.249 € (zzgl. Heizkosten),"3.258,00 EUR",2,"108,57 m²",3,2,1,,,1903,,Gepflegt,Etagenheizung,Gas,liegt vor,Bedarfsausweis,,Holtz Immobilien GmbH Hertzstraße 12 13158 Berlin,"Königsheideweg 264, 12487 Berlin, Johannisthal (Treptow)"
Sanierte und großzügige 3-Zimmer-Familienidylle,https://www.immobilienscout24.de/expose/105338311,1.584 €,184 €,116 €,1.884 €,"4.752,00 EUR",2,"126,7 m²",3,2,1,,,1906,,Saniert,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,Holtz Immobilien GmbH Hertzstraße 12 13158 Berlin,"Berlichingenstraße 18, 10553 Berlin, Tiergarten (Tiergarten)"
Moderne trifft Denkmal! Beeindruckende Dachgeschosswohnung am Tiergarten,https://www.immobilienscout24.de/expose/112391851,3.950 €,550 €,in Nebenkosten enthalten,4.500 €,,5 von 5,230 m²,3,2,2,True,True,1887,,Saniert,Zentralheizung,,,,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"Joseph-Haydn Straße 1, 10577 Berlin, Tiergarten (Tiergarten)"
Außergewöhnliche Dachgeschosswohnung mit Blick auf das Schloss Charlottenburg!,https://www.immobilienscout24.de/expose/113054451,1.811 €,247 €,158 €,2.216 €,"5.433,00 EUR",4 von 4,142 m²,3,2,1,True,True,1908,,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,Holtz Immobilien GmbH Hertzstraße 12 13158 Berlin,"Otto-Suhr-Allee 145, 10585 Berlin, Charlottenburg (Charlottenburg)"
Sehr großzügige 2-Zimmer-Altbauwohnung,https://www.immobilienscout24.de/expose/109914033,1.010 €,143 €,64 €,1.217 €,"3.321,00 EUR",3,"88,58 m²",2,1,1,,,,,Vollständig renoviert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,"180,43 kWh/(m²*a)",Holtz Immobilien GmbH Hertzstraße 12 13158 Berlin,"Soldiner Straße 35, 13359 Berlin-Wedding, Wedding (Wedding)"
Exklusives Luxuspenthouse in bester Lage,https://www.immobilienscout24.de/expose/108319408,12.000 €,3.500 €,in Nebenkosten enthalten,15.500 €,3-Nettokalt-Mieten,3 von 3,364 m²,4,3,3,True,True,2008,zuletzt 2009,,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"14195 Berlin, Schmargendorf (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"1,5 Zimmer-Wohnung mit Wintergarten in Pankow sucht dich",https://www.immobilienscout24.de/expose/113294149,"409,14 €",85 €,55 €,"549,14 €",3 Nettokaltmieten,2 von 6,"45,47 m²","1,5",2,1,True,,1997,,,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Prenzlauer Promenade 47a, 13089 Berlin, Heinersdorf (Weißensee)"
Erstbezug nach Sanierung: 3-Zimmer-Wohnung mit Einbauküche nach Ihren Wünschen + 2 Balkonen in Mitte,https://www.immobilienscout24.de/expose/113582296,"1.553,85 €","345,30 €",in Nebenkosten enthalten,"1.897,50 €",,1 von 5,"115,1 m²",3,2,1,True,True,1914,,Erstbezug nach Sanierung,Fußbodenheizung,Fernwärme,,,,D.K. Real Estate GmbH Wilmersdorfer Str. 95 10629 Berlin,"Habersaathstraße 15, 10115 Berlin, Mitte (Mitte)"
Voll möblierte Wohnung nähe Humboldthain - Einziehen und wohlfühlen,https://www.immobilienscout24.de/expose/115437732,1.200 €,keine Angabe,in Nebenkosten enthalten,1.200 € (zzgl. Nebenkosten),,,"60,34 m²",2,2,1,,,1900,,Gepflegt,,Gas,liegt vor,Bedarfsausweis,,Berlin City Properties Martin-Luther-Straße 47 10779 Berlin,"13357 Berlin, Wedding (Wedding) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Singlewohnung in Kreuzberg - Wohnen nähe Checkpoint Charlie!,https://www.immobilienscout24.de/expose/115439101,"285,74 €",100 €,50 €,"435,74 €",3 x Nettokaltmiete,5,38 m²,1,1,1,True,,1966,,Gepflegt,Zentralheizung,Fernwärme,liegt zur Besichtigung vor,,,ADO Immobilien Management GmbH Am Karlsbad 11 10785 Berlin,"Wilhelmstr. 15, 10963 Berlin, Kreuzberg (Kreuzberg)"
Luxus Dachgeschoss im Loftstil,https://www.immobilienscout24.de/expose/113184836,9.500 €,760 €,in Nebenkosten enthalten,9.774 €,3 Nettokalt-Mieten,,274 m²,5,3,4,True,True,1900,,,,Fernwärme,liegt vor,Bedarfsausweis,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"10629 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Erstbezug im hochwertig sanierten Altbau unweit der Rehwiese,https://www.immobilienscout24.de/expose/113244259,2.800 €,450 €,in Nebenkosten enthalten,3.250 €,3 Netto-Kalt-Mieten,1 von 2,152 m²,5,3,2,,True,1900,zuletzt 2019,,,Erdgas leicht,liegt vor,Bedarfsausweis,,EuV Residential Berlin GmbH Hohenzollerndamm 114 14199 Berlin,"14129 Berlin, Nikolassee (Zehlendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"6 Räume, 2 Balkone, neu renoviert - was will man mehr?",https://www.immobilienscout24.de/expose/114228583,"1.618,87 €","225,17 €","110,38 €","1.954,42 €","4.856,61 EUR",2 von 3,"147,17 m²",6,5,2,,,2001,,Vollständig renoviert,,Gas,,Bedarfsausweis,,Grand City Property,"Prinzessinenstraße 31, 12307 Berlin, Lichtenrade (Tempelhof)"
!!!Nachmieter für traumhafte 2 Zimmerwohnung in Mitte ab 16.02.2020 gesucht!!!,https://www.immobilienscout24.de/expose/115588142,1.015 €,115 €,76 €,1.206 €,3045,9 von 11,76 m²,2,,,True,True,2015,,Modernisiert,Fußbodenheizung,,,Bedarfsausweis,,CAPERA Immobilien Service GmbH Kurfürstendamm 71 10709 Berlin,"Alex-Wedding-Straße 5, 10178 Berlin, Mitte (Mitte)"
Tolle 1-Zimmer-Wohnung zu vermieten. Besichtigung am 10.02.2020 um 08:00 Uhr!,https://www.immobilienscout24.de/expose/106535726,395 €,50 €,54 €,499 €,"1.185,00",1 von 4,"36,5 m²",1,1,1,,,1898,,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Schneider Grundbesitz GmbH & Co. KG Marientaler Str. 46 12359 Berlin,"Behringstr. 9, 12437 Berlin, Baumschulenweg (Treptow)"
2-Zimmerwohnung in Niederschöneweide,https://www.immobilienscout24.de/expose/111372754,"800,29 €","92,44 €","132,27 €",1.025 €,2400.87,,"71,11 m²",2,,,,True,1936,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Schnellerstr. 70, 12439 Berlin, Niederschöneweide (Treptow)"
Super 1-Raum-Wohnung zu vermieten! Besichtigung: 10.02.2020 um 16:00 Uhr.,https://www.immobilienscout24.de/expose/101833606,514 €,63 €,nicht in Nebenkosten enthalten,577 € (zzgl. Heizkosten),"1.542,00",4 von 5,"48,47 m²",1,1,1,,,1908,zuletzt 2017,Modernisiert,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,"91,4 kWh/(m²*a)",Schneider Grundbesitz GmbH & Co. KG Marientaler Str. 46 12359 Berlin,"Conrad-Blenkle-Straße 65, 10407 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
"Co-Living/ all inclusive in möblierter, Altbauwohnung",https://www.immobilienscout24.de/expose/115420575,500 €,295 €,in Nebenkosten enthalten,795 €,1500,1 von 5,"18,7 m²",1,1,1,,True,,,,,,,,,Wolff + Wolff Immobilien GmbH,"10779 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"5-Zimmerwohnung mit Einbauküche, Dusch -und Wannenbad",https://www.immobilienscout24.de/expose/115527461,1.110 €,205 €,85 €,1.400 €,3330,,128 m²,5,,,,True,1919,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Gürtelstraße 35, 10247 Berlin, Friedrichshain (Friedrichshain)"
"Zw. Friedrich-Engels- und Dietzgenstr./Helle, ruhige DG-Wohnung in gepfl. Anlage/Guter Grundriss",https://www.immobilienscout24.de/expose/115420806,"583,74 €",190 €,inkl. 60 €,"773,74 €",3 Kaltmieten,1 von 3,54 m²,2,,,True,True,1996,,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,78 kWh/(m²*a),MI-KA Immobilien GmbH Koenigsallee 56 14193 Berlin,"Kirchstr. 65 a, 13158 Berlin, Rosenthal (Pankow)"
