Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Bezugsfrei ab,Zimmer,Schlafzimmer,Badezimmer,Balkon/ Terrasse,Baujahr,Objektzustand,Ausstattung,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Endenergiebedarf,Energieeffizienzklasse,Anbieter,Adreese
"Neu renovierte 2 Zimmer-EG-Wohnung in Tiergarten, Berlin",https://www.immobilienscout24.de/expose/115133306,655 €,135 €,in Nebenkosten enthalten,790 €,1965,,58 m²,01.04.2020,2,,1,,unbekannt,Vollständig renoviert,Normale Qualität,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,C,,"10555 Berlin, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Exklusive Maisonettewohnung im historischen Schwedenpavillon direkt am Wannsee!,https://www.immobilienscout24.de/expose/113538248,3.582 €,250 €,250 €,4.082 €,10746,4 von 4,"199,07 m²",sofort,4,2,2,True,1910,Erstbezug nach Sanierung,Luxus,Fußbodenheizung,Erdgas leicht,liegt vor,Verbrauchsausweis,,D,Uwe Lange Immobilienbetreuung Weberplatz 27 14482 Potsdam,"Am Grossen Wansee 28-30, 14109 Berlin, Wannsee (Zehlendorf)"
Neubau Penthouse mit Dachgarten als Erstbezug,https://www.immobilienscout24.de/expose/114032667,2.565 €,"256,50 €",inkl. 146 €,"2.967,50 €",3 Nettokaltmieten,4 von 4,171 m²,sofort,5,3,2,True,2019,Erstbezug,Luxus,Zentralheizung,Erdgas leicht,liegt vor,Bedarfsausweis,50 kWh/(m²*a),A+,Jens-Uwe Knott Geneststraße 5 10829 Berlin,"Rennbahnstraße 26, 13086 Berlin, Weißensee (Weißensee)"
"Sonnige, geräumige 2-Zimmer-Wohnung mit EBK in Grünau (Köpenick), Berlin",https://www.immobilienscout24.de/expose/115580704,795 €,95 €,95 €,985 €,2385,3 von 4,"83,19 m²",ab sofort,2,,1,,1997,Vollständig renoviert,Gehobene Qualität,Zentralheizung,Gas,liegt vor,Bedarfsausweis,"75,83 kWh/(m²*a)",,Altinbas Immobilien GmbH,"Regattastraße 124, 12527 Berlin, Grünau (Köpenick)"
"Erstbezug Traumwohnung (93 m², 3,5 Zimmer) in Weißensee in Gemeinschaftsprojekt (Genossenschaft)",https://www.immobilienscout24.de/expose/114846598,"1.018,82 €","213,03 €","64,83 €","1.296,68 €",46000,1 von 5,"92,62 m²",1.01.2020,"3,5",3,1,True,2019,Erstbezug,Gehobene Qualität,Fernwärme,Nahwärme,liegt vor,Bedarfsausweis,"33,54 kWh/(m²*a)",A,BeGeno16 eG,"Brodenbacher Weg 34, 13088 Berlin, Weißensee (Weißensee)"
Exclusives Wohnen im Grünen in Berlin Grünau,https://www.immobilienscout24.de/expose/95609685,945 €,130 €,in Nebenkosten enthalten,1.075 €,2800,1 von 3,80 m²,März 2020,2,1,1,,2016,Neuwertig,Gehobene Qualität,Fußbodenheizung,Erdgas leicht,liegt vor,,,,Berlin,"Bruno Taut Str. 43, 12524 Berlin, Altglienicke (Treptow)"
Erstbezug: schöne 3-Zimmer-Gartenenwohnung in Berlin-Biesdorf,https://www.immobilienscout24.de/expose/115076853,1.300 €,240 €,in Nebenkosten enthalten,1.540 €,2 Kaltmieten,0 von 3,94 m²,ab sofort,3,,2,True,2019,Erstbezug,Gehobene Qualität,Blockheizkraftwerke,,liegt vor,Bedarfsausweis,,A,,"Minskerstrasse 10, 12683 Berlin, Biesdorf (Marzahn)"
"Schöne, Luxuswohnung im Diplomatenpark, Berlin",https://www.immobilienscout24.de/expose/115065277,3.900 €,500 €,in Nebenkosten enthalten,4.400 €,Drei Netto-Kaltmieten,3 von 4,124 m²,01.02.2020,3,,2,True,,Neuwertig,,,,,,,,,"Clara-Wieck-Straße 7, 10785 Berlin, Tiergarten (Tiergarten)"
"Erstbezug - Dachgeschoss, lichtdurchflutet - riesiges Wohnzimmer - 4 Zimmer, 2 Bäder, moderne EBK",https://www.immobilienscout24.de/expose/108902303,2.970 €,230 €,100 €,3.300 €,8910,4 von 4,165 m²,01.03.2019,4,,2,True,2018,Neuwertig,Gehobene Qualität,Etagenheizung,Gas,liegt zur Besichtigung vor,,,,,"Beckerstraße 2, 12157 Berlin, Schöneberg (Schöneberg)"
Furnitured City Apartment at LUX - just a few steps to Brandenburg Gate and Friedrichstraße!,https://www.immobilienscout24.de/expose/90614228,1.900 €,300 €,in Nebenkosten enthalten,2.200 €,3 Monate Kaltmiete,5 von 7,86 m²,sofort,2,1,1,,2016,Neuwertig,Luxus,Fußbodenheizung,Fernwärme,liegt zur Besichtigung vor,,,,YLS Sherpa Real Estate GmbH Kufürstendamm 194 10707 Berlin,"Neustädtische Kirchplatz 69, 10117 Berlin, Mitte (Mitte)"
"Moderne, möblierte 2 Zimmerwohnung in Prenzlauer Berg",https://www.immobilienscout24.de/expose/115705818,959 €,170 €,in Nebenkosten enthalten,1.129 €,3387,6 von 6,45 m²,ab sofort,2,,1,True,,,Normale Qualität,Fußbodenheizung,,,,,,,"Danziger Straße 77, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
Möb. 2-Zi. Wohnung mit Blick auf Fernsehturm / furn. 2 rooms Apmt. with view to the Berlin TV tower,https://www.immobilienscout24.de/expose/115705991,1.190 €,160 €,in Nebenkosten enthalten,1.350 €,3690,3 von 6,40 m²,ab sofort,2,,1,True,2019,Erstbezug,Luxus,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,"64,2 kWh/(m²*a)",B,,"Stallschreiberstraße 31, 10179 Berlin, Mitte (Mitte)"
"6 Räume, 2 Balkone, neu renoviert - was will man mehr?",https://www.immobilienscout24.de/expose/114228583,"1.618,87 €","225,17 €","110,38 €","1.954,42 €","4.856,61 EUR",2 von 3,"147,17 m²",Sofort,6,5,2,True,2001,Vollständig renoviert,Normale Qualität,,Gas,,Bedarfsausweis,151 kWh/(m²*a),,Grand City Property,"Prinzessinenstraße 31, 12307 Berlin, Lichtenrade (Tempelhof)"
"Geräumige 1,5 Zimmer Altbau Nähe Roseneck / Grunewald - hundefreundlich",https://www.immobilienscout24.de/expose/115656679,"629,20 €",96 €,62 €,"787,20 €","1887,60",0 von 4,"57,2 m²",sofort,"1,5",1,1,,1915,Modernisiert,Normale Qualität,Zentralheizung,Fernwärme,liegt vor,,,,Handelsgesellschaft für Grundbesitz mbH Hohenzollerndamm 82 14199 Berlin,"Ilmenauer Str. 9, 14193 Berlin, Schmargendorf (Wilmersdorf)"
"Fully furnished 2 room flat in Adlershof close to Schönefeld Airport, ideal for Airline staff",https://www.immobilienscout24.de/expose/114337318,790 €,205 €,in Nebenkosten enthalten,995 €,2200,0 von 2,64 m²,01.02.2020,2,1,1,,1934,Vollständig renoviert,Gehobene Qualität,Zentralheizung,,liegt zur Besichtigung vor,,,,,"Altheiderstr. 2, 12489 Berlin, Adlershof (Treptow)"
"Schöne, geräumige drei Zimmer Wohnung in Berlin, Charlottenburg",https://www.immobilienscout24.de/expose/115756671,1.525 €,300 €,in Nebenkosten enthalten,1.825 €,"4575,-",5 von 5,122 m²,01.04.2020,"3,5",,2,True,1910,,Normale Qualität,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,,,"Dahlmannstraße 15, 10629 Berlin, Charlottenburg (Charlottenburg)"
"Schöne, großzügige Altbauwohnung - hundefreundlich, nicht WG-geeignet",https://www.immobilienscout24.de/expose/114127110,"2.739,24 €",302 €,inkl. 211 €,"3.252,24 €","8.217,72",2 von 3,"228,27 m²",sofort,"6,5",4,2,True,1915,Vollständig renoviert,Gehobene Qualität,Fernwärme,Fernwärme,liegt vor,,,,Handelsgesellschaft für Grundbesitz mbH Hohenzollerndamm 82 14199 Berlin,"Ruhlaer Str. 14, 14199 Berlin, Schmargendorf (Wilmersdorf)"
Wohnen im schönen Stuckaltbau im ruhigen Innenhof,https://www.immobilienscout24.de/expose/113994556,"812,50 €",keine Angabe,keine Angabe,"812,50 € (zzgl. Nebenkosten & Heizkosten)",,,65 m²,,2,1,1,True,1900,Modernisiert,Normale Qualität,Gas-Heizung,,,,,,Premium Property UG,"12587 Berlin, Friedrichshagen (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Erstbezug Familien-Wohnung (5,5 Zimmer) in Gemeinschaftsprojekt",https://www.immobilienscout24.de/expose/115189672,"1.639,33 €","342,77 €","104,32 €","2.086,42 €",75.000,4 von 5,"149,03 m²",01.03.2020,"5,5",5,2,True,2019,Erstbezug,Gehobene Qualität,Fernwärme,Nahwärme,liegt vor,Bedarfsausweis,"33,54 kWh/(m²*a)",A,BeGeno16 eG,"Wittlicher Straße 24, 13088 Berlin, Weißensee (Weißensee)"
Möblierte 2-Zimmer-Wohnung mit hochwertiger Ausstattung! Centrally located! Large loggia!!,https://www.immobilienscout24.de/expose/115619333,1.402 €,112 €,56 €,1.570 €,4206,4 von 5,"56,08 m²",sofort,2,1,1,True,2018,Neuwertig,Gehobene Qualität,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,64 kWh/(m²*a),B,"Hans-Juergen Kloss, Immobilien Lindenufer 39 13597 Berlin","Else-Lasker-Schüler-Straße 6, 10783 Berlin, Schöneberg (Schöneberg)"
Exklusives neuwertige 3 Zi. Wohnung in bester Lage im Berliner Regierungsviertel,https://www.immobilienscout24.de/expose/115758281,2.400 €,350 €,in Nebenkosten enthalten,2.750 €,5500,4 von 8,94 m²,01.03.2020,3,2,1,True,2017,Gepflegt,,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,70 kWh/(m²*a),B,Berlin SBS Immobilien und Service,"10117 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Sanierte 3- Zimmerwohnung im Grünen, nahe S-Bahnhof Frohnau",https://www.immobilienscout24.de/expose/115135299,1.030 €,350 €,keine Angabe,1.380 € (zzgl. Heizkosten),,1 von 2,105 m²,01.12.2019,3,,,True,1965,Saniert,,Öl-Heizung,,liegt zur Besichtigung vor,,,,IVM Group 13465 Berlin,"13465 Berlin, Frohnau (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"880 €, 58 m², 2 Zimmer",https://www.immobilienscout24.de/expose/114543736,880 €,0 €,inkl. 0 €,880 €,1500,1 von 5,58 m²,sofort,2,1,1,True,1972,Erstbezug nach Sanierung,,Zentralheizung,Öl,liegt vor,Bedarfsausweis,,,,"Falkenhagener Straße 32, 13585 Berlin, Spandau (Spandau)"
"1 Zimmer Apartment ab 1 Juni 2020 mit EBK und komplett ausgestattet in Schöneberg, Berlin",https://www.immobilienscout24.de/expose/114093213,1.100 €,0 €,in Nebenkosten enthalten,1.100 €,2200€,6 von 12,44 m²,01.06.2020,1,,1,,unbekannt,Saniert,Luxus,,,liegt zur Besichtigung vor,,,,,"Hauptstraße 93, 12159 Berlin, Schöneberg (Schöneberg)"
"Exklusive,geräumige Untergeschosswohnung i.Mehrfamilienhaus direkt a.Großen Müggelsee,Erstvermietung",https://www.immobilienscout24.de/expose/108357384,"2.457,80 €","294,94 €",in Nebenkosten enthalten,"2.752,74 €","7373,40",1 von 4,"122,89 m²",ab sofort,3,,2,True,1892,Erstbezug nach Sanierung,Gehobene Qualität,Fußbodenheizung,Gas,liegt zur Besichtigung vor,,,,,"Müggelseedamm 270, 12587 Berlin, Friedrichshagen (Köpenick)"
"Neubauwohnung mit 2,5 Zimmern und 2 Dachterrassen",https://www.immobilienscout24.de/expose/115310240,1.430 €,220 €,in Nebenkosten enthalten,1.650 €,3 Netto-Kaltmieten,5 von 5,"83,5 m²",sofort,"2,5",2,1,True,2019,Erstbezug,Gehobene Qualität,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,54 kWh/(m²*a),,LUCOL Immobilien GmbH Elisabethstraße 11 80796 München,"Binzstraße 42, 13189 Berlin, Pankow (Pankow)"
"3-Zimmer-Erdgeschosswohnung, 114,4 m² in Berlin",https://www.immobilienscout24.de/expose/115640563,1.289 €,210 €,120 €,1.619 €,2000,0 von 7,114 m²,,3,,1,True,2017,Neuwertig,Normale Qualität,Zentralheizung,Gas,,,,,,"Rungestraße 21, 10179 Berlin, Mitte (Mitte)"
ZWEITBEZUG NACH KOMPLETTSANIERUNG! Wunderschöne ERDGESCHOSS-Altbau-Wohnung mit EBK am Herrfurthplatz,https://www.immobilienscout24.de/expose/115657502,480 €,60 €,40 €,580 €,"1.440,- EUR",0 von 5,"34,3 m²",SOFORT,1,,1,,1905,Neuwertig,Gehobene Qualität,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,,E,Anchello Salmayer Immobiliengesellschaft mbH Bleibtreustraße 5A 10623 Berlin,"Herrfurthplatz 5, 12049 Berlin, Neukölln (Neukölln)"
"Neubau-Wohnung in Berlin-Mitte, 3 Zimmer, Wallstraße 18, TOP-Lage am Spittelmarkt, nahe U-Bahn 2",https://www.immobilienscout24.de/expose/98416135,1.690 €,200 €,in Nebenkosten enthalten,1.940 €,5000,2 von 7,96 m²,01.03.2020,3,2,1,True,2020,Erstbezug,Gehobene Qualität,Fernwärme,Fernwärme,liegt zur Besichtigung vor,,,,Lärchenweg 14 21224 Rosengarten-Tötensen,"Wallstraße 18, 10179 Berlin, Mitte (Mitte)"
TOP SANIERT!!! Traumhaftes 2-Zimmer-Altbau-Apartment mit EBK im Herzen von Berlins Mitte,https://www.immobilienscout24.de/expose/115506696,650 €,70 €,65 €,785 €,"1.950,- EUR",1 von 4,"45,23 m²",sofort,2,1,1,,1900,Saniert,Gehobene Qualität,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,,Anchello Salmayer Immobiliengesellschaft mbH Bleibtreustraße 5A 10623 Berlin,"Marienstraße 3, 10177 Berlin, Mitte (Mitte)"
tolles Neubau-Apartment in Moabit nahe Hauptbahnhof mit Balkon,https://www.immobilienscout24.de/expose/115590164,1.100 €,140 €,in Nebenkosten enthalten,1.240 €,3300,4 von 7,53 m²,01.04.2020,2,1,1,True,2019,Erstbezug,Gehobene Qualität,Zentralheizung,Gas,liegt vor,Bedarfsausweis,60 kWh/(m²*a),B,Jörg Vespermann Immobilien Mühlenstr. 18 17192 Waren,"Lehrter Str 23, 10557 Berlin, Tiergarten (Tiergarten)"
"Klassischer Altbau: Möblierte 3-Zimmer-Wohnung, hell und ruhig, langfristig zu vermieten",https://www.immobilienscout24.de/expose/115429047,1.100 €,280 €,in Nebenkosten enthalten,1.380 €,"3300,00",3 von 5,82 m²,sofort,3,2,1,True,1900,Gepflegt,Normale Qualität,Zentralheizung,Gas,liegt vor,Bedarfsausweis,"162,9 kWh/(m²*a)",F,Birke-Immobilien Zähringerstr. 8 10707 Berlin,"10779 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Besichtigung Samstag, 15.02. um 13:00 Uhr! Helle Altbauwohnung 3 Zimmer mit Einbauküche u. Laminat!",https://www.immobilienscout24.de/expose/115781463,667 €,120 €,nicht in Nebenkosten enthalten,787 € (zzgl. Heizkosten),"2.001,00",1,"66,5 m²",sofort,3,3,1,,1918,Modernisiert,,Etagenheizung,Gas,,,,,Harry Gerlach Wohnungsunternehmen GmbH Berliner Str. 120 10713 Berlin,"Heidekampweg 1, 12437 Berlin, Baumschulenweg (Treptow)"
"Luxuriöse, neue 2-Zimmer-Wohnung mit Sonnenbalkon",https://www.immobilienscout24.de/expose/98856759,"1.311,77 €",278 €,in Nebenkosten enthalten,"1.589,77 €",3935,3 von 6,"67,27 m²",,2,,1,True,2017,Neuwertig,Luxus,Fernwärme,Fernwärme-Dampf,liegt zur Besichtigung vor,,,,,"Am Hamburger Bahnhof 3, 10557 Berlin, Tiergarten (Tiergarten)"
Elegante Dachgeschosswohnung in Charlottenburg,https://www.immobilienscout24.de/expose/114448685,3.500 €,140 €,159 €,3.799 €,"10.500,- €",5 von 5,140 m²,,4,3,2,True,2016,Neuwertig,Luxus,Zentralheizung,Fernwärme,liegt zur Besichtigung vor,,,,cityofberlin Immobilien,"10585 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Lietzenseepark: großzügige Jugendstilwohnung mit Charme,https://www.immobilienscout24.de/expose/115788849,1.485 €,167 €,148 €,1.800 €,"4.455,00 €",1 von 7,"154,8 m²",15.05.2020,"4,5",,1,True,1907,Modernisiert,Gehobene Qualität,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,,,"Witzlebenstr. 3, 14057 Berlin, Charlottenburg (Charlottenburg)"
"Erstbezug mit Balkon: schöne 4-Zimmer-Wohnung in Friedrichsfelde (Lichtenberg), Berlin",https://www.immobilienscout24.de/expose/109964075,1.298 €,300 €,nicht in Nebenkosten enthalten,1.598 € (zzgl. Heizkosten),"2600,00",2 von 4,118 m²,ab sofort,4,,2,True,2016,Erstbezug,Gehobene Qualität,Fußbodenheizung,Fernwärme,liegt vor,,,,,"Allee der Kosmonauten 17, 10315 Berlin, Friedrichsfelde (Lichtenberg)"
Erstbezug: luxuriöse möbierte 2-Zimmer-Wohnung mit allem,https://www.immobilienscout24.de/expose/115595960,1.499 €,199 €,in Nebenkosten enthalten,1.698 €,4497,1 von 5,"47,2 m²",ab sofort,2,,1,True,2019,Erstbezug,Luxus,Fußbodenheizung,Fernwärme,liegt vor,,,,,"Wegelystraße 4A, 10623 Berlin, Charlottenburg (Charlottenburg)"
Wunderschöne drei Zimmerwohnung in exponierter Lage mit Wasserblick und optionalem Bootsliegeplatz,https://www.immobilienscout24.de/expose/115615124,1.292 €,369 €,in Nebenkosten enthalten,1.661 €,2 x Kaltmiete,2 von 3,95 m²,ab sofort,3,2,1,True,2016,Neuwertig,Gehobene Qualität,Fußbodenheizung,Erdwärme,,,,,,"12557 Berlin, Köpenick (Köpenick) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Schöner Wohnen! Sonnige 2-Zimmer-Wohnung am Yachthafen,https://www.immobilienscout24.de/expose/115599547,665 €,180 €,in Nebenkosten enthalten,845 €,3 Nettokaltmieten,3 von 5,70 m²,22.03.2020,2,,1,True,1997,Neuwertig,Gehobene Qualität,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,,,,"Wendenschloßstraße 308, 12557 Berlin - Köpenick, Köpenick (Köpenick)"
"Ruhige, geräumige ein Zimmer Wohnung in Berlin, Wedding Schillerpark",https://www.immobilienscout24.de/expose/94201823,330 €,75 €,nicht in Nebenkosten enthalten,405 € (zzgl. Heizkosten),"990,00",0 von 4,46 m²,26.02.2020,"1,5",,1,,unbekannt,Vollständig renoviert,Normale Qualität,Etagenheizung,Gas,liegt zur Besichtigung vor,,,,,"Edinburger Straße 27, 13349 Berlin, Wedding (Wedding)"
Szenekiez - Top 1 Zimmerwohnung mit großem Balkon - hochwertige Einbauküche - sehr hell,https://www.immobilienscout24.de/expose/111004620,800 €,100 €,in Nebenkosten enthalten,900 €,2400,3 von 5,40 m²,15.02.2020,1,1,1,True,1900,Neuwertig,Luxus,Zentralheizung,Gas,liegt zur Besichtigung vor,,,,,"12045 Berlin, Neukölln (Neukölln) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Exuisite vollmöblierte drei Zimmer Wohnung in Berlin, Kladow (Spandau)",https://www.immobilienscout24.de/expose/115012784,1.250 €,200 €,in Nebenkosten enthalten,1.450 €,,1 von 1,70 m²,ab sofort,3,,1,True,,Erstbezug nach Sanierung,Luxus,Etagenheizung,Gas,liegt zur Besichtigung vor,,,,,"14089 Berlin, Kladow (Spandau) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Erstbezug: Luxus 4-Zi-DG-Wohnung mit Klimaanlage, EBK, Balkon, Tiefgarage in Berlin Wilmersdorf",https://www.immobilienscout24.de/expose/115109839,2.064 €,"270,14 €",in Nebenkosten enthalten,"2.334,14 €",3,6 von 6,96 m²,01.02.2020,4,,2,True,2019,Erstbezug,Luxus,Fußbodenheizung,,,,,,,"10825 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Helle, Vollmöblierte 1-Zi-Wohnung (+ sonniger Balkon) – Traumhafte Lage am Checkpoint Charlie + TG",https://www.immobilienscout24.de/expose/115400717,650 €,345 €,in Nebenkosten enthalten,995 €,1950,3 von 6,50 m²,01.03.2020,1,,1,True,,Gepflegt,Gehobene Qualität,,,liegt vor,,,,,"Friedrichstr. 211, 10969 Berlin, Kreuzberg (Kreuzberg)"
Attraktive Wohnung mit Balkon in begehrter City-West TOP Lage,https://www.immobilienscout24.de/expose/111407193,600 €,150 €,in Nebenkosten enthalten,750 €,,6 von 7,"56,03 m²",sofort,1,1,1,True,1992,Vollständig renoviert,Normale Qualität,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,,Ernst-Reuter-Platz Grundstücksgesellschaft mbH & Co. Geschäftshaus KG Ernst-Reuter-Platz 10 10587 Berlin,"Schillerstraße 4-5, 10625 Berlin, Charlottenburg (Charlottenburg)"
"Ruhige, helle 3 Zimmer Neubau Erstbezug Nähe Kantstraße",https://www.immobilienscout24.de/expose/114067213,1.790 €,190 €,100 €,2.080 €,3580,1 von 6,"122,27 m²",01.03.2020,3,,,True,2020,Erstbezug,Gehobene Qualität,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,"34,6 kWh/(m²*a)",A,P. D. Immobilien Misdroyer Str. 52 14199 Berlin,"Herderstr. 3, 10625 Berlin, Charlottenburg (Charlottenburg)"
"Ruhige, helle 2 Zimmer Neubau Erstbezug Nähe Kantstraße",https://www.immobilienscout24.de/expose/114066294,1.382 €,140 €,80 €,1.602 €,2764,1 von 6,"98,72 m²",01.03.2020,2,,,True,2020,Erstbezug,Gehobene Qualität,Gas-Heizung,Gas,liegt vor,Bedarfsausweis,"34,6 kWh/(m²*a)",A,P. D. Immobilien Misdroyer Str. 52 14199 Berlin,"Herderstr. 3, 10625 Berlin, Charlottenburg (Charlottenburg)"
"Dachgeschoss Loft Apartment, Balkon mit Blick auf Fernsehturm, möbliert, provisionsfrei",https://www.immobilienscout24.de/expose/100490495,1.350 €,170 €,in Nebenkosten enthalten,1.520 €,2200,6 von 6,"63,4 m²",01.03.2020,"1,5",,1,True,2015,Neuwertig,Luxus,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,"41,6 kWh/(m²*a)",A,,"Pettenkoferstr. 15, 10247 Berlin, Friedrichshain (Friedrichshain)"
"Komplett sanierte 4 Zimmer Wohnung mit zwei Bädern, Dusche und Badewanne - am Kaiserdamm",https://www.immobilienscout24.de/expose/114725221,1.950 €,189 €,160 €,2.299 €,5850,1 von 6,"154,6 m²",sofort,4,,,,1900,,,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,152 kWh/(m²*a),,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Kaiserdamm 21, 14057 Berlin, Charlottenburg (Charlottenburg)"
"Erstbezug Familienwohnung (160 m², 7 Zimmer) in Weißensee Gemeinschaftsprojekt (Genossenschaft)",https://www.immobilienscout24.de/expose/115174027,"1.763,63 €","368,76 €","112,23 €","2.244,62 €",80.000,5 von 5,"160,33 m²",1.02.2020,7,6,2,True,2019,Erstbezug,Gehobene Qualität,Fernwärme,Nahwärme,liegt vor,Bedarfsausweis,"33,54 kWh/(m²*a)",A,BeGeno16 eG,"Brodenbacher Weg 36, 13088 Berlin, Weißensee (Weißensee)"
STILVOLL UND REPRÄSENTATIV - MIT BALKON,https://www.immobilienscout24.de/expose/115596908,1.990 €,415 €,in Nebenkosten enthalten,2.405 €,,4,140 m²,,4,,,True,,,,,,,,,,Betterhomes Deutschland GmbH Hauptstraße 29 70771 Leinfelden-Echterdingen,"10825 Berlin-Schöneberg, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
HELL UND HOCHWERTIG - NAHE MAUERPARK,https://www.immobilienscout24.de/expose/115608020,1.524 €,205 €,in Nebenkosten enthalten,1.729 €,,3,91 m²,04.01.2020,3,,,True,,,,,,,,,,Betterhomes Deutschland GmbH Hauptstraße 29 70771 Leinfelden-Echterdingen,"10437 Berlin-Prenzlauer Berg, Prenzlauer Berg (Prenzlauer Berg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
MÖBLIERT PRENZLAUER BERG. SAMSTAG 15-17°°.,https://www.immobilienscout24.de/expose/115775979,850 €,0 €,in Nebenkosten enthalten,850 €,2 EUR,,40 m²,,1,,,,,,,,,,,,,Betterhomes Deutschland GmbH Hauptstraße 29 70771 Leinfelden-Echterdingen,"10249 Berlin-Prenzlauer Berg, Friedrichshain (Friedrichshain) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
NEUWERTIG UND MODERN WOHNEN,https://www.immobilienscout24.de/expose/115782656,780 €,147 €,in Nebenkosten enthalten,927 €,3 EUR,,52 m²,01.02.2020,1,,,True,2018,,,Fußbodenheizung,,,Bedarfsausweis,53 kWh/(m²*a),B,Betterhomes Deutschland GmbH Hauptstraße 29 70771 Leinfelden-Echterdingen,"10557 Berlin-Tiergarten, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
FRISCH SANIERT MIT TERRASSE UND EDLER MÖBLIERUNG,https://www.immobilienscout24.de/expose/115783005,1.400 €,0 €,nicht in Nebenkosten enthalten,1.400 € (zzgl. Heizkosten),,,55 m²,,"1,5",,,,,,,,,,,,,Betterhomes Deutschland GmbH Hauptstraße 29 70771 Leinfelden-Echterdingen,"10553 Berlin-Tiergarten, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
ERSTBEZUG: ZENTRAL MIT BALKON,https://www.immobilienscout24.de/expose/115783267,1.499 €,199 €,nicht in Nebenkosten enthalten,1.698 € (zzgl. Heizkosten),,1,47 m²,11.02.2020,2,,,True,,,,,,,,,,Betterhomes Deutschland GmbH Hauptstraße 29 70771 Leinfelden-Echterdingen,"10623 Berlin-Charlottenburg (City), Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
PENTHOUSE NEUWERTIG UND MODERN WOHNEN,https://www.immobilienscout24.de/expose/115823845,1.400 €,225 €,in Nebenkosten enthalten,1.625 €,3 EUR,7,83 m²,01.03.2020,3,,,True,2018,,,Fußbodenheizung,Fernwärme,,Bedarfsausweis,53 kWh/(m²*a),B,Betterhomes Deutschland GmbH Hauptstraße 29 70771 Leinfelden-Echterdingen,"10557 Berlin-Tiergarten, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
NEUWERTIG UND MODERN WOHNEN,https://www.immobilienscout24.de/expose/115823932,1.340 €,230 €,in Nebenkosten enthalten,1.570 €,3 EUR,1,83 m²,01.03.2020,3,,,True,2018,,,Fußbodenheizung,Strom,,Bedarfsausweis,53 kWh/(m²*a),B,Betterhomes Deutschland GmbH Hauptstraße 29 70771 Leinfelden-Echterdingen,"10557 Berlin-Tiergarten, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
PENTHOUSE. NEUWERTIG UND MODERN WOHNEN,https://www.immobilienscout24.de/expose/115823975,1.400 €,230 €,in Nebenkosten enthalten,1.630 €,3 EUR,7,83 m²,01.06.2020,3,,,True,2018,,,Fußbodenheizung,Fernwärme,,Bedarfsausweis,53 kWh/(m²*a),B,Betterhomes Deutschland GmbH Hauptstraße 29 70771 Leinfelden-Echterdingen,"10557 Berlin-Tiergarten, Tiergarten (Tiergarten) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
