straße,bezirk,wohnlage_einstufung,gebietsstand,hausnummer,buchstabe,lage_im_stadtgebiet,ortsteil
Budapester Straße,ChWi,gut*,22,22,22,22,22
Budapester Straße,Mitt,mittel,1,1,1,1,1
Budapester Straße,Mitt,mittel*,71,71,71,71,71
Buddestraße,Pank,mittel*,1,0,1,1,1
Buddestraße,Rein,mittel,24,24,24,24,24
Buddestraße,Rein,mittel*,42,42,42,42,42
Budsiner Straße,MaHe,mittel,39,39,39,39,39
Budsiner Straße,MaHe,mittel*,2,2,2,2,2
Bugenhagenstraße,Mitt,einfach,32,32,32,32,32
Bugenhagenstraße,Mitt,einfach*,2,2,2,2,2
Buggenhagenstraße,Lich,einfach,30,30,30,30,30
Buggenhagenstraße,Lich,einfach*,1,1,1,1,1
Buggestraße,StZe,gut,19,19,19,19,19
Buggestraße,StZe,gut*,2,2,2,2,2
Buhrowstraße,StZe,mittel,18,18,18,18,18
Buhrowstraße,StZe,mittel*,9,9,9,9,9
Bukesweg,TrKö,einfach,1,0,1,1,1
Bulgarische Straße,TrKö,mittel,1,1,1,1,1
Bulgarische Straße,TrKö,mittel*,48,48,48,48,48
Bulgenbachweg,Rein,gut,1,0,1,1,1
BundenbacherWeg,Pank,mittel,1,0,1,1,1
Bundesallee,ChWi,gut,10,10,10,10,10
Bundesallee,ChWi,gut*,118,118,118,118,118
Bundesallee,TSch,gut,1,1,1,1,1
Bundesallee,TSch,gut*,81,81,81,81,81
Bundesplatz,ChWi,gut*,1,0,1,1,1
Bundesratufer,Mitt,gut,8,8,8,8,8
Bundesratufer,Mitt,mittel,3,3,3,3,3
Bundesratufer,Mitt,mittel*,2,2,2,2,2
Bundesring,TSch,mittel,1,0,1,1,1
Bundesstraße 2,Lich,einfach*,1,0,1,1,1
Bundschuhweg,Rein,gut,32,32,32,32,32
Bundschuhweg,Rein,gut*,4,4,4,4,4
Bunsenstraße,Mitt,gut,1,0,1,1,1
Buntspechtstraße,Rein,mittel,1,0,1,1,1
Buntsteinweg,Pank,einfach,9,9,9,9,9
Buntsteinweg,Pank,einfach*,4,4,4,4,4
Buntzelstraße,TrKö,einfach,21,21,21,21,21
Buntzelstraße,TrKö,einfach*,105,105,105,105,105
Buntzelstraße,TrKö,mittel,15,15,15,15,15
Buntzelstraße,TrKö,mittel*,133,133,133,133,133
Bunzlauer Straße,Pank,mittel,1,0,1,1,1
Buolstraße,Span,mittel,13,13,13,13,13
Buolstraße,Span,mittel*,1,1,1,1,1
BurbacherWeg,Span,einfach,1,0,1,1,1
Burchardstraße,TSch,mittel,84,84,84,84,84
Burchardstraße,TSch,mittel*,4,4,4,4,4
Burgemeisterstraße,TSch,mittel,74,74,74,74,74
Burgemeisterstraße,TSch,mittel*,8,8,8,8,8
Burgfrauenstraße,Rein,gut,41,41,41,41,41
Burgfrauenstraße,Rein,gut*,99,99,99,99,99
Burgfrauenstraße,Rein,mittel,12,12,12,12,12
Burgfrauenstraße,Rein,mittel*,35,35,35,35,35
Burggrafenstraße,MaHe,mittel,1,0,1,1,1
Burggrafenstraße,Mitt,gut,8,8,8,8,8
Burggrafenstraße,Mitt,gut*,1,1,1,1,1
Burggrafenstraße,Mitt,mittel,6,6,6,6,6
Burghardweg,MaHe,einfach,1,0,1,1,1
Burgherrenstraße,TSch,mittel,9,9,9,9,9
Burgherrenstraße,TSch,mittel*,2,2,2,2,2
Burgsdorfstraße,Mitt,einfach,15,15,15,15,15
Burgsdorfstraße,Mitt,einfach*,2,2,2,2,2
Burgstraße,Mitt,gut*,1,0,1,1,1
Burgunder Straße,ChWi,gut,9,9,9,9,9
Burgunder Straße,ChWi,gut*,1,1,1,1,1
Burgunder Straße,StZe,gut,19,19,19,19,19
Burgunder Straße,StZe,gut*,3,3,3,3,3
Burgwallstraße,Pank,mittel,40,40,40,40,40
Burgwallstraße,Pank,mittel*,65,65,65,65,65
BurigerWeg,TrKö,einfach,1,0,1,1,1
BurscheiderWeg,Span,einfach,52,52,52,52,52
BurscheiderWeg,Span,einfach*,4,4,4,4,4
BurscheiderWeg,Span,mittel,56,56,56,56,56
BurscheiderWeg,Span,mittel*,1,1,1,1,1
Buschallee,Pank,mittel,3,3,3,3,3
Buschallee,Pank,mittel*,106,106,106,106,106
Buschgrabenweg,StZe,mittel,1,0,1,1,1
BuschhüttenerWeg,Span,einfach,2,2,2,2,2
BuschhüttenerWeg,Span,einfach*,2,2,2,2,2
Buschiner Straße,MaHe,mittel,1,0,1,1,1
Buschkrugallee,Neuk,einfach,1,1,1,1,0
Buschkrugallee,Neuk,einfach*,207,207,207,207,0
Buschkrugallee,Neuk,mittel,6,6,6,6,0
Buschkrugallee,Neuk,mittel*,202,202,202,202,0
BuschowerWeg,Span,einfach,1,0,1,1,1
Buschrosenplatz,Neuk,einfach,1,0,1,1,0
Buschrosensteig,Neuk,einfach,22,22,22,22,0
Buschrosensteig,Neuk,einfach*,1,1,1,1,0
Buschsperlingweg,Pank,einfach*,132,132,132,132,132
Buschsperlingweg,Pank,mittel*,1,1,1,1,1
Buschwindröschenweg,TrKö,mittel,1,0,1,1,1
Busonistraße,Pank,mittel,278,278,278,278,278
Busonistraße,Pank,mittel*,8,8,8,8,8
Bussardsteig,StZe,gut,1,0,1,1,1
Busseallee,StZe,gut,1,0,1,1,1
Buttenstedtweg,TrKö,gut,16,16,16,16,16
Buttenstedtweg,TrKö,gut*,2,2,2,2,2
Butterblumensteig,MaHe,einfach,4,4,4,4,4
Butterblumensteig,MaHe,mittel,12,12,12,12,12
Buttmannstraße,Mitt,einfach,19,19,19,19,19
Buttmannstraße,Mitt,einfach*,3,3,3,3,3
Byronweg,ChWi,gut,6,6,6,6,6
Byronweg,ChWi,gut*,2,2,2,2,2
Bäckerstraße,Neuk,mittel,1,1,1,1,0
Bäckerstraße,Neuk,mittel*,1,1,1,1,0
Bäkestraße (Lifel),StZe,gut,12,12,12,12,12
Bäkestraße (Lifel),StZe,gut*,10,10,10,10,10
Bäkestraße (Wanns),StZe,gut,1,1,1,1,1
Bäkestraße (Wanns),StZe,gut*,7,7,7,7,7
Bänschstraße,FrKr,gut,54,54,54,54,54
Bänschstraße,FrKr,mittel,97,97,97,97,97
Bänschstraße,FrKr,mittel*,3,3,3,3,3
Bärbel-Bohley-Ring,Mitt,einfach*,1,0,1,1,1
Bärbelweg,Rein,mittel,1,0,1,1,1
Bärdorfer Zeile,TrKö,einfach,58,58,58,58,58
Bärdorfer Zeile,TrKö,einfach*,46,46,46,46,46
Bärenlauchstraße,TrKö,mittel,88,88,88,88,88
Bärenlauchstraße,TrKö,mittel*,1,1,1,1,1
Bärensteinstraße,MaHe,mittel,54,54,54,54,54
Bärensteinstraße,MaHe,mittel*,2,2,2,2,2
Bäumerplan,TSch,mittel,1,0,1,1,1
Böckhstraße,FrKr,mittel,49,49,49,49,49
Böckhstraße,FrKr,mittel*,4,4,4,4,4
Böcklerstraße,FrKr,einfach,1,0,1,1,1
Böcklinstraße,FrKr,mittel,5,5,5,5,5
Böcklinstraße,FrKr,mittel*,1,1,1,1,1
Bödikersteig,Span,einfach,8,8,8,8,8
Bödikersteig,Span,einfach*,3,3,3,3,3
Bödikerstraße,FrKr,mittel,34,34,34,34,34
Bödikerstraße,FrKr,mittel*,2,2,2,2,2
Böhlener Straße,MaHe,mittel,1,0,1,1,1
Böhmerwaldweg,Span,einfach,12,12,12,12,12
Böhmerwaldweg,Span,einfach*,6,6,6,6,6
Böhmische Straße,Neuk,mittel,1,0,1,1,0
Bölkauer Pfad,Rein,mittel,1,0,1,1,1
Bölschestraße,TrKö,gut,8,8,8,8,8
Bölschestraße,TrKö,gut*,129,129,129,129,129
Börnestraße,Pank,mittel,76,76,76,76,76
Börnestraße,Pank,mittel*,4,4,4,4,4
Börnicker Straße,Span,einfach,1,0,1,1,1
Bösensteinweg,TSch,mittel,1,0,1,1,1
Böttcherstraße,TrKö,mittel,1,0,1,1,1
Böttgerstraße,Mitt,einfach,34,34,34,34,34
Böttgerstraße,Mitt,einfach*,10,10,10,10,10
Böttnerstraße,Pank,mittel,1,0,1,1,1
Bötzowstraße,Pank,gut,7,7,7,7,7
Bötzowstraße,Pank,gut*,76,76,76,76,76
Bötzowstraße,Pank,mittel,67,67,67,67,67
Bötzowstraße,Pank,mittel*,6,6,6,6,6
Büchenbronner Steig,Rein,mittel,1,0,1,1,1
Büchnerweg,Pank,mittel,1,0,1,1,1
Büchnerweg,TrKö,mittel,177,177,177,177,177
Büchnerweg,TrKö,mittel*,7,7,7,7,7
Büchsenweg,Rein,einfach,51,51,51,51,51
Büchsenweg,Rein,einfach*,9,9,9,9,9
Büdnerring,Rein,einfach,78,78,78,78,78
Büdnerring,Rein,einfach*,1,1,1,1,1
BühlerWeg,Neuk,einfach,1,0,1,1,0
Bühringstraße,Pank,einfach,27,27,27,27,27
Bühringstraße,Pank,einfach*,1,1,1,1,1
Bühringstraße,Pank,mittel,37,37,37,37,37
Büllinger Straße,MaHe,einfach,1,0,1,1,1
Bülowstraße,FrKr,einfach,1,1,1,1,1
Bülowstraße,StZe,gut,15,15,15,15,15
Bülowstraße,StZe,gut*,18,18,18,18,18
Bülowstraße,TSch,einfach,7,7,7,7,7
Bülowstraße,TSch,einfach*,93,93,93,93,93
Bülowstraße,TSch,mittel*,7,7,7,7,7
Bültenring,MaHe,mittel,1,0,1,1,1
Bürgerheimstraße,Lich,einfach,42,42,42,42,42
Bürgerheimstraße,Lich,einfach*,6,6,6,6,6
Bürgersruh,Rein,mittel,1,0,1,1,1
Bürgerstraße,Neuk,einfach,107,107,107,107,0
Bürgerstraße,Neuk,einfach*,45,45,45,45,0
Bürgerstraße,Rein,einfach*,1,0,1,1,1
Bürgipfad,StZe,mittel,1,0,1,1,1
Bürknersfelder Straße,Lich,einfach,1,0,1,1,1
Bürknerstraße,Neuk,einfach,29,29,29,29,0
Bürknerstraße,Neuk,einfach*,3,3,3,3,0
BürstadterWeg,StZe,gut,1,0,1,1,1
Büschingstraße,FrKr,mittel,28,28,28,28,28
Büschingstraße,FrKr,mittel*,2,2,2,2,2
Büsingstraße,TSch,gut,1,0,1,1,1
BüssowerWeg,Rein,mittel,1,0,1,1,1
Büsumer Pfad,Rein,mittel,6,6,6,6,6
Büsumer Pfad,Rein,mittel*,1,1,1,1,1
Bütower Straße,MaHe,mittel,33,33,33,33,33
Bütower Straße,MaHe,mittel*,2,2,2,2,2
Büxensteinallee,TrKö,mittel,1,0,1,1,1
Cafeastraße,Neuk,einfach,1,0,1,1,0
Cajamarcaplatz,TrKö,mittel *,1,0,1,1,1
Calandrellistraße,StZe,gut,5,5,5,5,5
Calandrellistraße,StZe,mittel,102,102,102,102,102
Caligariplatz,Pank,mittel *,1,0,1,1,1
Calvinstraße,Mitt,mittel,29,29,29,29,29
Calvinstraße,Mitt,mittel *,3,3,3,3,3
Calvinstraße,Rein,mittel,10,10,10,10,10
Calvinstraße,Rein,mittel *,6,6,6,6,6
Cambridger Straße,Mitt,einfach *,1,0,1,1,1
Campestraße,Rein,gut,1,0,1,1,1
Camphausenstraße,StZe,gut,31,31,31,31,31
Camphausenstraße,StZe,gut *,3,3,3,3,3
Camphausenstraße,StZe,mittel,28,28,28,28,28
Canovastraße,TSch,mittel,7,7,7,7,7
Canovastraße,TSch,mittel *,1,1,1,1,1
Cantalweg,Pank,einfach,25,25,25,25,25
Cantalweg,Pank,einfach *,2,2,2,2,2
Cantianstraße,Pank,gut,3,3,3,3,3
Cantianstraße,Pank,gut *,2,2,2,2,2
Cantianstraße,Pank,mittel,15,15,15,15,15
Cantianstraße,Pank,mittel *,1,1,1,1,1
Cantorsteig,TSch,mittel,26,26,26,26,26
Cantorsteig,TSch,mittel *,1,1,1,1,1
Cardinalplatz,TrKö,gut,1,0,1,1,1
Cardinalstraße,TrKö,gut,42,42,42,42,42
Cardinalstraße,TrKö,gut *,5,5,5,5,5
Carionweg,ChWi,mittel *,1,0,1,1,1
Carl-Heinrich-Becker-Weg,StZe,gut,1,0,1,1,1
Carl-Herz-Ufer,FrKr,mittel,35,35,35,35,35
Carl-Herz-Ufer,FrKr,mittel *,1,1,1,1,1
Carl-Scheele-Straße,TrKö,einfach,1,0,1,1,1
Carl-Schurz-Straße,Span,einfach,86,86,86,86,86
Carl-Schurz-Straße,Span,einfach *,16,16,16,16,16
Carl-Steffeck-Straße,TSch,einfach,1,0,1,1,1
Carmerstraße,ChWi,mittel,18,18,18,18,18
Carmerstraße,ChWi,mittel *,1,1,1,1,1
Carnotstraße,ChWi,einfach,1,0,1,1,1
Carola-Neher-Straße,MaHe,einfach,81,81,81,81,81
Carola-Neher-Straße,MaHe,mittel,57,57,57,57,57
Carola-Neher-Straße,MaHe,mittel *,13,13,13,13,13
Caroline-Michaelis-Straße,Mitt,mittel,14,14,14,14,14
Caroline-Michaelis-Straße,Mitt,mittel *,1,1,1,1,1
Caroline-von-Humboldt-Weg,Mitt,gut,1,0,1,1,1
Carpinusweg,StZe,gut,1,0,1,1,1
Carstennstraße,StZe,gut,60,60,60,60,60
Carstennstraße,StZe,gut *,8,8,8,8,8
Carstennstraße,StZe,gut*,5,5,5,5,5
Caseler Straße,Pank,mittel,5,5,5,5,5
Caseler Straße,Pank,mittel *,1,1,1,1,1
Caspar-Theyß-Straße,ChWi,gut,57,57,57,57,57
Caspar-Theyß-Straße,ChWi,gut*,7,7,7,7,7
Cassinohof,StZe,gut,36,36,36,36,36
Cassinohof,StZe,gut *,28,28,28,28,28
Catostraße,TSch,einfach,1,0,1,1,1
Cauerstraße,ChWi,mittel,3,3,3,3,3
Cauerstraße,ChWi,mittel *,35,35,35,35,35
Cauerstraße,ChWi,mittel*,1,1,1,1,1
Cautiusstraße,Span,mittel,94,94,94,94,94
Cautiusstraße,Span,mittel *,2,2,2,2,2
Cecilienallee,Rein,gut,1,0,1,1,1
Ceciliengärten,TSch,gut,34,34,34,34,34
Ceciliengärten,TSch,gut *,5,5,5,5,5
Ceciliengärten,TSch,mittel,13,13,13,13,13
Ceciliengärten,TSch,mittel *,1,1,1,1,1
Cecilienplatz,MaHe,mittel,1,0,1,1,1
Cecilienstraße,MaHe,einfach *,1,1,1,1,1
Cecilienstraße,MaHe,mittel,235,235,235,235,235
Cecilienstraße,MaHe,mittel *,96,96,96,96,96
Cecilienstraße,StZe,mittel,12,12,12,12,12
Cecilienstraße,StZe,mittel *,2,2,2,2,2
Cecilienstraße,TSch,mittel,48,48,48,48,48
Cedernstraße,TrKö,mittel,1,0,1,1,1
Celsiusstraße,StZe,einfach,122,122,122,122,122
Celsiusstraße,StZe,einfach *,14,14,14,14,14
Centweg,Pank,mittel,1,0,1,1,1
Cevennenstraße,Pank,mittel,1,0,1,1,1
Chamierstraße,Lich,mittel,1,0,1,1,1
Chamissoplatz,FrKr,mittel,1,0,1,1,1
Chamissostraße,Pank,einfach,15,15,15,15,15
Chamissostraße,Pank,mittel,50,50,50,50,50
Chamissostraße,Span,mittel,92,92,92,92,92
Chamissostraße,Span,mittel *,2,2,2,2,2
Champagneweg,Pank,einfach,1,0,1,1,1
Champignonstraße,TrKö,einfach,10,10,10,10,10
Champignonstraße,TrKö,einfach *,1,1,1,1,1
Chantiéweg,Pank,mittel,1,0,1,1,1
Charitéplatz,Mitt,gut,1,1,1,1,1
Charitéplatz,Mitt,gut *,1,1,1,1,1
Charitéstraße,Mitt,gut,1,1,1,1,1
Charitéstraße,Mitt,gut *,7,7,7,7,7
Charles-Corcelle-Ring,Mitt,einfach,14,14,14,14,14
Charles-Corcelle-Ring,Mitt,einfach *,3,3,3,3,3
Charles-H.-King-Straße,StZe,gut,25,25,25,25,25
Charles-H.-King-Straße,StZe,gut *,16,16,16,16,16
Charles-Lindbergh-Straße,Span,mittel,1,0,1,1,1
Charlotte-E.-Pauly-Straße,TrKö,gut,43,43,43,43,43
Charlotte-Salomon-Hain,Lich,mittel,1,0,1,1,1
Charlotte-von-Mahlsdorf-Ring,MaHe,mittel,71,71,71,71,71
Charlotte-von-Mahlsdorf-Ring,MaHe,mittel *,10,10,10,10,10
Charlottenbrunner Straße,ChWi,gut,1,0,1,1,1
Charlottenburger Chaussee,ChWi,mittel *,15,15,15,15,15
Charlottenburger Chaussee,Span,einfach,1,1,1,1,1
Charlottenburger Chaussee,Span,einfach *,205,205,205,205,205
Charlottenburger Straße,Pank,einfach,71,71,71,71,71
Charlottenburger Straße,Pank,einfach *,5,5,5,5,5
Charlottenburger Straße,Pank,gut,12,12,12,12,12
Charlottenburger Straße,Pank,mittel,54,54,54,54,54
Charlottenburger Straße,Pank,mittel *,2,2,2,2,2
Charlottenburger Straße,StZe,gut,43,43,43,43,43
Charlottenburger Straße,StZe,gut *,1,1,1,1,1
Charlottenburger Straße,StZe,gut*,4,4,4,4,4
Charlottenburger Ufer,ChWi,mittel,17,17,17,17,17
Charlottenburger Ufer,ChWi,mittel *,4,4,4,4,4
Charlottenstraße,FrKr,einfach,19,19,19,19,19
Charlottenstraße,FrKr,einfach *,11,11,11,11,11
Charlottenstraße,Lich,mittel,38,38,38,38,38
Charlottenstraße,Lich,mittel *,1,1,1,1,1
Charlottenstraße,MaHe,mittel,116,116,116,116,116
Charlottenstraße,MaHe,mittel *,1,1,1,1,1
Charlottenstraße,Mitt,gut,23,23,23,23,23
Charlottenstraße,Mitt,gut *,10,10,10,10,10
Charlottenstraße,Mitt,mittel,17,17,17,17,17
Charlottenstraße,Mitt,mittel *,2,2,2,2,2
Charlottenstraße,Pank,einfach,29,29,29,29,29
Charlottenstraße,Pank,einfach *,2,2,2,2,2
Charlottenstraße,Pank,mittel,30,30,30,30,30
Charlottenstraße,Pank,mittel *,2,2,2,2,2
Charlottenstraße,Span,einfach,16,16,16,16,16
Charlottenstraße,Span,einfach *,11,11,11,11,11
Charlottenstraße,TSch,mittel,1,0,1,1,1
Charlottenstraße,TrKö,mittel,19,19,19,19,19
Charlottenstraße,TrKö,mittel *,2,2,2,2,2
Charlottenstraße (Lankw),StZe,gut,34,34,34,34,34
Charlottenstraße (Lankw),StZe,mittel,53,53,53,53,53
Charlottenstraße (Lankw),StZe,mittel *,23,23,23,23,23
Charlottenstraße (Wanns),StZe,gut,7,7,7,7,7
Charlottenstraße (Wanns),StZe,gut *,1,1,1,1,1
Chartronstraße,Pank,mittel,1,0,1,1,1
Chausseestraße,Mitt,einfach,2,2,2,2,2
Chausseestraße,Mitt,einfach *,13,13,13,13,13
Chausseestraße,Mitt,gut *,13,13,13,13,13
Chausseestraße,Mitt,mittel,17,17,17,17,17
Chausseestraße,Mitt,mittel *,80,80,80,80,80
Chausseestraße,Mitt,mittel*,8,8,8,8,8
Chausseestraße,StZe,gut,15,15,15,15,15
Chausseestraße,StZe,gut *,39,39,39,39,39
Chausseestraße,StZe,gut*,2,2,2,2,2
Chemnitzer Straße,MaHe,einfach,45,45,45,45,45
Chemnitzer Straße,MaHe,einfach *,259,259,259,259,259
Chemnitzer Straße,MaHe,einfach*,41,41,41,41,41
Chemnitzer Straße,MaHe,mittel,20,20,20,20,20
Chemnitzer Straße,MaHe,mittel *,45,45,45,45,45
Cheruskerstraße,TSch,mittel,31,31,31,31,31
Cheruskerstraße,TSch,mittel *,2,2,2,2,2
Chiemseestraße,TrKö,mittel,1,0,1,1,1
Chiliweg,Pank,einfach,1,0,1,1,1
Chlodwigstraße,TSch,mittel,1,0,1,1,1
Chlumer Straße,StZe,gut *,1,0,1,1,1
Chodowieckistraße,Pank,mittel,39,39,39,39,39
Chodowieckistraße,Pank,mittel *,3,3,3,3,3
Chopinstraße,Pank,mittel,28,28,28,28,28
Chopinstraße,Pank,mittel *,4,4,4,4,4
Choriner Straße,Mitt,gut,21,21,21,21,21
Choriner Straße,Pank,gut,63,63,63,63,63
Choriner Straße,Pank,gut *,1,1,1,1,1
Chorweilerstraße,TrKö,mittel,1,0,1,1,1
Chris-Gueffroy-Allee,Neuk,einfach*,1,1,1,1,0
Chris-Gueffroy-Allee,TrKö,mittel,11,11,11,11,11
Chris-Gueffroy-Allee,TrKö,mittel*,45,45,45,45,45
Christburger Straße,Pank,gut,44,44,44,44,44
Christburger Straße,Pank,gut *,4,4,4,4,4
Christburger Straße,Pank,mittel,2,2,2,2,2
Christelweg,MaHe,einfach,1,0,1,1,1
Christian-Dohm-Weg,Lich,einfach,1,0,1,1,1
Christian-Henkel-Straße,Neuk,einfach,1,0,1,1,0
Christianstraße,Lich,mittel,30,30,30,30,30
Christianstraße,Lich,mittel *,1,1,1,1,1
Christinenstraße,Pank,gut,38,38,38,38,38
Christinenstraße,Pank,gut *,3,3,3,3,3
Christoph-Kolumbus-Straße,Span,gut,11,11,11,11,11
Christoph-Kolumbus-Straße,Span,mittel,3,3,3,3,3
Christoph-Ruden-Straße,Neuk,einfach,7,7,7,7,0
Christoph-Ruden-Straße,Neuk,mittel,15,15,15,15,0
Christophstraße,Lich,mittel,1,0,1,1,1
Christrosensteig,Span,einfach,10,10,10,10,10
Christrosensteig,Span,einfach *,14,14,14,14,14
Christstraße,ChWi,mittel,41,41,41,41,41
Christstraße,ChWi,mittel *,2,2,2,2,2
Chrysanthemenstraße,Pank,einfach,8,8,8,8,8
Chrysanthemenstraße,Pank,einfach*,1,1,1,1,1
Churer Zeile,StZe,mittel,1,0,1,1,1
Cicerostraße,ChWi,gut,20,20,20,20,20
Cicerostraße,ChWi,gut *,2,2,2,2,2
Cicerostraße,ChWi,mittel,31,31,31,31,31
Cicerostraße,ChWi,mittel *,3,3,3,3,3
Cimbernstraße,StZe,gut,49,49,49,49,49
Cimbernstraße,StZe,gut *,9,9,9,9,9
Cimbernstraße,TrKö,mittel,1,0,1,1,1
Claire-Waldoff-Promenade,Mitt,einfach,26,26,26,26,26
Claire-Waldoff-Promenade,Mitt,einfach*,3,3,3,3,3
Claire-Waldoff-Straße,Mitt,mittel,12,12,12,12,12
Claire-Waldoff-Straße,Mitt,mittel*,4,4,4,4,4
Clara-Grunwald-Straße,Lich,mittel,1,0,1,1,1
Clara-Jaschke-Straße,Mitt,mittel *,1,0,1,1,1
Clara-Wieck-Straße,Mitt,gut,1,0,1,1,1
Clara-Zetkin-Weg,MaHe,mittel,1,0,1,1,1
Clara-von-Simson-Straße,ChWi,einfach,1,0,1,1,1
Claszeile,StZe,gut,90,90,90,90,90
Claszeile,StZe,mittel,74,74,74,74,74
Claudiusstraße,Mitt,gut,12,12,12,12,12
Claudiusstraße,Mitt,gut *,2,2,2,2,2
Clauertstraße,StZe,gut,6,6,6,6,6
Clauertstraße,StZe,gut *,19,19,19,19,19
Clauertstraße,StZe,mittel,2,2,2,2,2
Clauertstraße,StZe,mittel *,8,8,8,8,8
Clausewitzstraße,ChWi,gut,1,0,1,1,1
Clayallee,ChWi,gut*,52,52,52,52,52
Clayallee,StZe,gut,57,57,57,57,57
Clayallee,StZe,gut*,473,473,473,473,473
Clematisweg,Pank,mittel,1,0,1,1,1
Clubhaus Müggelsee,TrKö,mittel,1,0,1,1,1
Clémentweg,Pank,mittel,1,0,1,1,1
Coesfelder Weg,Rein,mittel,1,0,1,1,1
Cohnstraße,Pank,mittel,1,0,1,1,1
Colbestraße,FrKr,mittel,62,62,62,62,62
Colbestraße,FrKr,mittel *,3,3,3,3,3
Colditzstraße,TSch,einfach,52,52,52,52,52
Colditzstraße,TSch,einfach *,4,4,4,4,4
Colmarer Weg,StZe,gut,13,13,13,13,13
Colmarer Weg,StZe,gut *,8,8,8,8,8
Colomierstraße,StZe,gut,1,0,1,1,1
Coloniaallee,TrKö,mittel,1,0,1,1,1
Columbiadamm,FrKr,mittel *,39,39,39,39,39
Columbiadamm,Neuk,einfach *,55,55,55,55,0
Columbiadamm,Neuk,mittel,7,7,7,7,0
Columbiadamm,Neuk,mittel *,8,8,8,8,0
Columbiadamm,TSch,mittel,16,16,16,16,16
Columbiadamm,TSch,mittel *,132,132,132,132,132
Conrad-Blenkle-Straße,Pank,mittel,16,16,16,16,16
Conrad-Blenkle-Straße,Pank,mittel*,45,45,45,45,45
Conradstraße,Rein,einfach,3,3,3,3,3
Conradstraße,Rein,einfach *,145,145,145,145,145
Conradstraße,StZe,gut,31,31,31,31,31
Conradstraße,StZe,gut *,2,2,2,2,2
Conradstraße,StZe,gut*,1,1,1,1,1
Contessaweg,Span,mittel,87,87,87,87,87
Contessaweg,Span,mittel*,1,1,1,1,1
Coppistraße,Lich,einfach,1,0,1,1,1
Cora-Berliner-Straße,Mitt,gut,1,0,1,1,1
Cordesstraße,ChWi,gut *,1,0,1,1,1
Corinthstraße,FrKr,mittel,104,104,104,104,104
Corinthstraße,FrKr,mittel *,13,13,13,13,13
Corker Straße,Mitt,einfach,11,11,11,11,11
Corker Straße,Mitt,mittel,30,30,30,30,30
Corneliusstraße,Mitt,gut,4,4,4,4,4
Corneliusstraße,Mitt,mittel *,7,7,7,7,7
Corneliusstraße,StZe,gut,18,18,18,18,18
Corneliusstraße,StZe,gut *,3,3,3,3,3
Corneliusstraße,StZe,mittel,46,46,46,46,46
Corrensplatz,StZe,gut,1,0,1,1,1
Cosimaplatz,TSch,gut,1,0,1,1,1
Cosmarweg,Span,einfach,1,0,1,1,1
Coswiger Straße,MaHe,einfach,1,0,1,1,1
Cotheniusstraße,Pank,mittel,16,16,16,16,16
Cotheniusstraße,Pank,mittel *,5,5,5,5,5
Cottastraße,Pank,gut,19,19,19,19,19
Cottastraße,Pank,gut *,1,1,1,1,1
Cottbusser Platz,MaHe,mittel,62,62,62,62,62
Cottbusser Platz,MaHe,mittel *,2,2,2,2,2
Cottbusser Straße,MaHe,mittel,150,150,150,150,150
Cottbusser Straße,MaHe,mittel *,1,1,1,1,1
Courbièrestraße,TSch,mittel,13,13,13,13,13
Courbièrestraße,TSch,mittel *,2,2,2,2,2
Crailsheimer Straße,StZe,mittel,3,3,3,3,3
Crailsheimer Straße,StZe,mittel *,18,18,18,18,18
Cranachstraße,TSch,mittel,61,61,61,61,61
Cranachstraße,TSch,mittel *,2,2,2,2,2
Creienfelder Weg,Rein,mittel,1,0,1,1,1
Crellestraße,TSch,mittel,37,37,37,37,37
Crellestraße,TSch,mittel *,9,9,9,9,9
Crellestraße,TSch,mittel*,1,1,1,1,1
Criegernweg,Lich,mittel,6,6,6,6,6
Criegernweg,Lich,mittel *,2,2,2,2,2
Criolloweg,Rein,mittel,25,25,25,25,25
Criolloweg,Rein,mittel *,6,6,6,6,6
Crivitzer Straße,Lich,mittel,1,0,1,1,1
Crusemarkstraße,Pank,gut,1,0,1,1,1
Crusiusstraße,ChWi,gut,5,5,5,5,5
Crusiusstraße,ChWi,gut *,7,7,7,7,7
Culemeyerstraße,TSch,einfach,1,0,1,1,1
Cunistraße,Pank,mittel,71,71,71,71,71
Cunistraße,Pank,mittel *,3,3,3,3,3
Cunostraße,ChWi,gut,103,103,103,103,103
Cunostraße,ChWi,gut *,9,9,9,9,9
Cupetiussteinweg,Pank,einfach,1,0,1,1,1
Currykrautweg,Pank,einfach,1,0,1,1,1
Curtiusstraße,StZe,gut,199,199,199,199,199
Curtiusstraße,StZe,gut *,17,17,17,17,17
Cuvrystraße,FrKr,einfach,49,49,49,49,49
Cuvrystraße,FrKr,einfach*,5,5,5,5,5
Cuxhavener Straße,Mitt,mittel *,1,0,1,1,1
Cyanenstraße,Pank,einfach,1,0,1,1,1
Cyclopstraße,Rein,mittel,27,27,27,27,27
Cyclopstraße,Rein,mittel*,3,3,3,3,3
Czarnikauer Straße,Pank,gut,4,4,4,4,4
Czarnikauer Straße,Pank,mittel,18,18,18,18,18
Czeminskistraße,TSch,einfach *,1,0,1,1,1
Cäsarstraße,Lich,gut,1,0,1,1,1
César-Franck-Straße,Pank,mittel,1,0,1,1,1
DGZ-Ring,Pank,einfach,4,4,4,4,4
