,Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Etage,Wohnfläche ca.,Zimmer,Schlafzimmer,Badezimmer,Personenaufzug,Einbauküche,Baujahr,Modernisierung/ Sanierung,Objektzustand,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Energieverbrauchskennwert,Anbieter,Adresse,Straße,PLZ,Kiez,Hausnummer,Ortsteil,Kaltmiete pro m²
708,Willkommen im Heinickeweg 15 l große exklusiv möblierte 3 Zimmer Maisionettewohnung,https://www.immobilienscout24.de/expose/115369513,2150.0,200.0,250.0,2600.0,6450,4,160.0,3,1.0,3.0,True,True,1903.0,,Neuwertig,,Fernwärme,laut Gesetz nicht erforderlich,,,Inseriert auf ohne-makler.net,"Heinickeweg 15, 13627 Berlin, Charlottenburg (Charlottenburg)",Heinickeweg,13627 Berlin,Charlottenburg (Charlottenburg),15,Charlottenburg,13.4375
709,Willkommen im Haus Cumberland am Ku'damm l exklusive 2 Zimmerwohnung,https://www.immobilienscout24.de/expose/115369669,1850.0,150.0,150.0,2150.0,5550,2,92.0,2,1.0,,True,True,1903.0,,Neuwertig,,Fernwärme,laut Gesetz nicht erforderlich,,,Inseriert auf ohne-makler.net,"Kurfürstendamm 193, 10719 Berlin, Charlottenburg (Charlottenburg)",Kurfürstendamm,10719 Berlin,Charlottenburg (Charlottenburg),193,Charlottenburg,20.108695652173914
710,Erstbezug - heller und moderner Neubau im Dreiländereck Treptow/Kreuzberg/Neukölln,https://www.immobilienscout24.de/expose/115389483,1769.0,360.0,0.0,2129.0,5250,4 von 6,127.0,4,3.0,2.0,True,True,2019.0,,Erstbezug,,Fernwärme,liegt vor,Bedarfsausweis,,Inseriert auf ohne-makler.net,"12435 Berlin, Treptow (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12435 Berlin,Treptow (Treptow),,Treptow,13.929133858267717
711,"3 Zimmer Whg. in Berlin - Charlottenburg, Sensburger Allee, zu vermieten",https://www.immobilienscout24.de/expose/115515661,1425.0,300.0,0.0,1725.0,4275,2 von 2,125.0,3,2.0,1.0,,True,1967.0,,Saniert,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,,Inseriert auf ohne-makler.net,"14055 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14055 Berlin,Charlottenburg (Charlottenburg),,Charlottenburg,11.4
712,"Co Living, Möblierte Wohnungen, Appartments, Young Proffessional, Scandic Flats",https://www.immobilienscout24.de/expose/105274614,10816.0,400.0,0.0,11216.0,4275,0 von 4,416.0,11,,,True,True,2018.0,,Erstbezug,Wärmepumpe,,liegt vor,Bedarfsausweis,,Immobilienkontor Berlin IK GmbH Tauroggenerstrasse 2 10589 Berlin,"Kaiserstrasse 4c, 12209 berlin, Lichterfelde (Steglitz)",Kaiserstrasse,12209 berlin,Lichterfelde (Steglitz),4,Lichterfelde,26.0
713,Wunderschöne Maisonettewohnung mit Echtholzparkett,https://www.immobilienscout24.de/expose/115554855,1526.96,271.12,0.0,1798.08,4580.88,3,110.89,4,,,True,,2015.0,,,Fernwärme,"Gas, Wärmelieferung",liegt vor,Bedarfsausweis,,Gewobag Wohnungsbau-Aktiengesellschaft Berlin Goebenstr. 19 10783 Berlin,"Kiefholzstr. 403 A, 12435 Berlin, Neukölln (Neukölln)",Kiefholzstr.,12435 Berlin,Neukölln (Neukölln),403,Neukölln,13.770042384344846
714,3 Zimmer Wohnung komplett möbliert,https://www.immobilienscout24.de/expose/115477349,1450.0,180.0,120.0,1750.0,1450,5 von 6,90.0,3,2.0,1.0,True,True,1988.0,,Gepflegt,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,Inseriert auf ohne-makler.net,"10117 Berlin, Mitte (Mitte) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10117 Berlin,Mitte (Mitte),,Mitte,16.11111111111111
715,Neubau - Exklusive Penthousewohnung mit zwei sonnigen Dachterrerrassen und Weitblick über Berlin,https://www.immobilienscout24.de/expose/115387181,2990.0,500.0,0.0,3490.0,3 Nettokaltmieten,5,172.0,4,,2.0,True,,2020.0,2020.0,Erstbezug,Wärmepumpe,,liegt zur Besichtigung vor,,,Houses & Homes - H & H Immobilien GmbH Benkertstr. 22 14467 Potsdam,"12161 Berlin, Friedenau (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12161 Berlin,Friedenau (Schöneberg),,Friedenau,17.38372093023256
716,"4 Zimmer, Hochparterre in ruhiger Nachbarschaft, Teilmöbliert",https://www.immobilienscout24.de/expose/115601812,1099.0,240.48,0.0,1339.48,3297.00,0 von 3,72.0,4,3.0,1.0,,True,1960.0,,Gepflegt,Zentralheizung,,liegt vor,Verbrauchsausweis,,Profi Select Coriolanus GmbH 10777 Berlin,"Geibelstr. 70, 12305 Berlin, Lichtenrade (Tempelhof)",Geibelstr.,12305 Berlin,Lichtenrade (Tempelhof),70,Lichtenrade,15.26388888888889
717,www.schnorr-immobilien.de: NEUBAU Dachgeschoss Wohnung in BERLIN MITTE*edle Küche*Terrasse,https://www.immobilienscout24.de/expose/115606212,1545.0,150.0,100.0,1795.0,3 Monatsnettokaltmieten,5 von 5,103.0,3,2.0,1.0,,True,,2019.0,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Schnorr & Partner Immobilien Walter-Benjamin-Platz 5 10629 Berlin,"Alt Moabit 47, 10555 Berlin, Tiergarten (Tiergarten)",Alt Moabit,10555 Berlin,Tiergarten (Tiergarten),47,Tiergarten,15.0
718,www.schnorr-immobilien.de: große Dachgeschoss Wohnung*BERLIN MITTE*Lift*edle Küche*Terrasse*2 Bäder,https://www.immobilienscout24.de/expose/115606232,2575.0,260.0,145.0,2980.0,3 Monatsnettokaltmieten,5 von 5,142.0,4,2.0,1.0,True,True,,2019.0,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Schnorr & Partner Immobilien Walter-Benjamin-Platz 5 10629 Berlin,"Alt Moabit 48, 10555 Berlin, Tiergarten (Tiergarten)",Alt Moabit,10555 Berlin,Tiergarten (Tiergarten),48,Tiergarten,18.133802816901408
719,www.schnorr-immobilien.de: NEUBAU-Dachgeschoss Wohnung in BERLIN MITTE*Lift*edle Küche*Terrasse,https://www.immobilienscout24.de/expose/115606239,1955.0,195.0,110.0,2260.0,3 Monatsnettokaltmieten,5 von 5,108.0,4,2.0,1.0,True,True,,2019.0,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,Schnorr & Partner Immobilien Walter-Benjamin-Platz 5 10629 Berlin,"Alt Moabit 48, 10555 Berlin, Tiergarten (Tiergarten)",Alt Moabit,10555 Berlin,Tiergarten (Tiergarten),48,Tiergarten,18.10185185185185
720,Zentrale Lage U-Bhf Ullsteinstraße am Hafencenter,https://www.immobilienscout24.de/expose/113609537,760.0,296.0,0.0,1056.0,3 Monatskaltmieten,3 von 12,88.2,3,1.0,1.0,True,,1972.0,,Gepflegt,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,Immopoint Grunewald Immobilien GmbH Kaiserdamm 6 14057 Berlin,"Burgemeister Straße 84, 12099 Berlin, Tempelhof (Tempelhof)",Burgemeister Straße,12099 Berlin,Tempelhof (Tempelhof),84,Tempelhof,8.616780045351474
721,Modernisierte 1 Zimmer Apartment nahe Rosa-Luxemburg-Platz,https://www.immobilienscout24.de/expose/107431782,850.0,57.0,43.0,950.0,2550,2 von 4,32.45,1,,,,True,1996.0,,,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Mulackstr. 6, 10119 Berlin, Mitte (Mitte)",Mulackstr.,10119 Berlin,Mitte (Mitte),6,Mitte,26.194144838212633
722,"""Wohnen am Aalemannufer"" , für max. 3 Personen,",https://www.immobilienscout24.de/expose/115121579,647.0,207.0,0.0,854.0,3 Kaltmieten,2 von 4,75.2,3,2.0,1.0,True,True,1995.0,,Vollständig renoviert,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,167.5,TEMA Terrain Geschäftsführung GmbH Vermietungsbüro: Seylerstr. 3 14109 Berlin,"Zum Erlengrund 13, 13587 Berlin, Spandau (Spandau)",Zum Erlengrund,13587 Berlin,Spandau (Spandau),13,Spandau,8.60372340425532
723,Erstbezug nach umfassender Modernisierung,https://www.immobilienscout24.de/expose/115348408,918.0,82.0,60.0,1060.0,2754,,46.96,2,,,,True,1900.0,,,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Stendaler Str. 20, 10559 Berlin, Tiergarten (Tiergarten)",Stendaler Str.,10559 Berlin,Tiergarten (Tiergarten),20,Tiergarten,19.54855195911414
724,Zentrale Lage U-Bhf Ullsteinstraße am Hafencenter,https://www.immobilienscout24.de/expose/115231343,880.0,338.0,0.0,1218.0,3 Monatskaltmieten,5 von 5,101.0,4,1.0,1.0,True,,1972.0,,Vollständig renoviert,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,Immopoint Grunewald Immobilien GmbH Kaiserdamm 6 14057 Berlin,"Burgemeister Straße 84, 12099 Berlin, Tempelhof (Tempelhof)",Burgemeister Straße,12099 Berlin,Tempelhof (Tempelhof),84,Tempelhof,8.712871287128714
725,2 Zimmerwohnung mit Einbauküche und Wannenbad,https://www.immobilienscout24.de/expose/104314643,1159.96,110.04,80.0,1350.0,347988,1 von 6,75.13,2,,,,True,1900.0,,,Fernwärme,Fernwärme,liegt vor,Bedarfsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Wiener Straße 31, 10999 Berlin, Kreuzberg (Kreuzberg)",Wiener Straße,10999 Berlin,Kreuzberg (Kreuzberg),31,Kreuzberg,15.439371755623586
726,2 Zimmer in Erdgeschoss,https://www.immobilienscout24.de/expose/115335760,950.0,50.0,,1000.0,2850,,33.75,2,,,,True,1900.0,,,Etagenheizung,Gas,liegt vor,Bedarfsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Weichselstraße 12, 12045 Berlin, Neukölln (Neukölln)",Weichselstraße,12045 Berlin,Neukölln (Neukölln),12,Neukölln,28.14814814814815
727,Erstbezug nach umfassender Modernisierung - Barrierereduzierte Wohnungen im Erdgeschoss,https://www.immobilienscout24.de/expose/115348565,1184.0,112.0,54.0,1350.0,3552,,56.25,1,,,,True,1976.0,,,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Bachstraße 4, 10555 Berlin, Tiergarten (Tiergarten)",Bachstraße,10555 Berlin,Tiergarten (Tiergarten),4,Tiergarten,21.04888888888889
728,Schöne 2-Zimmer-Wohnung in Pankow mit WBS,https://www.immobilienscout24.de/expose/89782216,550.0,93.0,77.0,720.0,1650.00,2 von 4,61.04,2,1.0,1.0,True,True,1997.0,,Gepflegt,Fernwärme,Erdgas schwer,liegt vor,Verbrauchsausweis,,Bardt + Bardt Hausverwaltung GmbH Goethestr. 10 b 12207 Berlin,"Eschengraben 15, 13189 Berlin, Pankow (Pankow)",Eschengraben,13189 Berlin,Pankow (Pankow),15,Pankow,9.01048492791612
729,Luxuriöses 3-Zimmer Penthouse in bester Lage,https://www.immobilienscout24.de/expose/115546005,1790.0,250.0,,2040.0,3 Kaltmieten,7 von 7,92.0,3,,,True,True,2018.0,,Neuwertig,Fußbodenheizung,,liegt zur Besichtigung vor,,,homewise GmbH Pfinztalstr. 90 76227 Karlsruhe,"Heinrich Heine Strasse 38c, 10179 Berlin, Mitte (Mitte)",Heinrich Heine Strasse,10179 Berlin,Mitte (Mitte),38,Mitte,19.456521739130434
730,Neubau Dachterrassenwohnung - Erstbezug - Weißenseer Spitze - angrenzend zum Prenzlauer Berg,https://www.immobilienscout24.de/expose/114829079,1370.0,125.0,0.0,1495.0,4110.00,,71.0,2,2.0,1.0,,True,1900.0,,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,Wüstenrot Immobilien Georgenstrasse 25 10117 Berlin,"Goethestrasse 36, 13086 Berlin - Weissensee, Weißensee (Weißensee)",Goethestrasse,13086 Berlin - Weissensee,Weißensee (Weißensee),36,Weißensee,19.295774647887324
731,WBS erforderlich. Für Senioren ab 60.Jahren - WBS für 3 Zimmer erforderlich,https://www.immobilienscout24.de/expose/115509674,356.77,186.0,0.0,542.77,1070.31,,58.61,3,,,True,,1974.0,,,Zentralheizung,"Gas, Strom",liegt vor,Verbrauchsausweis,,Gewobag Wohnungsbau-Aktiengesellschaft Berlin Nehringstr. 2 14059 Berlin,"Waltroper Platz 8-10, 12207 Berlin, Lichterfelde (Steglitz)",Waltroper Platz,12207 Berlin,Lichterfelde (Steglitz),8,Lichterfelde,6.08718648694762
732,Terrassenwohnung in Reinickendorf,https://www.immobilienscout24.de/expose/114632256,1283.35,157.34,81.54,1522.23,3850.05,0 von 5,78.67,3,,,,,2016.0,,Gepflegt,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,,Gewobag Wohnungsbau-Aktiengesellschaft Berlin Reichweindamm 6 13627 Berlin,"Neptunstr. 24, 13409 Berlin, Reinickendorf (Reinickendorf)",Neptunstr.,13409 Berlin,Reinickendorf (Reinickendorf),24,Reinickendorf,16.313079954239225
733,Umfassend modernisierte Wohnung mit kleiner Kammer,https://www.immobilienscout24.de/expose/114777675,949.0,140.0,71.0,1160.0,2847,3 von 4,72.28,3,,,,,1933.0,,,Fernwärme,Gas,liegt vor,Verbrauchsausweis,109.2,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Romanshorner Weg 28, 13407 Berlin, Reinickendorf (Reinickendorf)",Romanshorner Weg,13407 Berlin,Reinickendorf (Reinickendorf),28,Reinickendorf,13.129496402877697
734,5 ZIMMER ALTBAU - TEILGEWERBLICHE NUTZUNG - WOHNEN UND ARBEITEN AN EINEM ORT!!,https://www.immobilienscout24.de/expose/114708758,2512.0,200.0,,2712.0,7536.00,3 von 5,152.2,5,2.0,3.0,,True,1913.0,,Gepflegt,Etagenheizung,Erdgas leicht,liegt vor,Verbrauchsausweis,,Nancy Bernhard Immobilien Otto-Ostrowski-Str. 35 10249 Berlin,"Florastraße 13, 13187 Berlin, Pankow (Pankow)",Florastraße,13187 Berlin,Pankow (Pankow),13,Pankow,16.504599211563733
735,Modernisierte Wohnung mit Einbauküche und Duschbad,https://www.immobilienscout24.de/expose/115202441,860.0,45.0,45.0,950.0,2580,4 von 7,36.94,1,,,,True,1863.0,,,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,,"AKELIUS GmbH Erkelenzdamm 11,13 10999 Berlin","Oranienstraße 38, 10999 Berlin, Kreuzberg (Kreuzberg)",Oranienstraße,10999 Berlin,Kreuzberg (Kreuzberg),38,Kreuzberg,23.280996210070384
736,Kleine feine möbelierte Wohnung im Zentrum der Metropole,https://www.immobilienscout24.de/expose/115527214,944.16,245.0,0.0,1189.16,2472.00,2,68.0,2,1.0,1.0,True,True,1995.0,,Gepflegt,Zentralheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,,B² Immobilien-Geldanlagen-Versicherungen Eichner Dorfstr. 1a 16356 Ahrensfelde,"Max-Beer-Strasse 33, 10119 Berlin, Mitte (Mitte)",Max-Beer-Strasse,10119 Berlin,Mitte (Mitte),33,Mitte,13.884705882352941
737,tolles Neubau-Apartment in Moabit nahe Hauptbahnhof mit Balkon,https://www.immobilienscout24.de/expose/115590164,1100.0,140.0,0.0,1240.0,3300,4 von 7,53.0,2,1.0,1.0,True,True,2019.0,2019.0,Erstbezug,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,Jörg Vespermann Immobilien Mühlenstr. 18 17192 Waren,"Lehrter Str 23, 10557 Berlin, Tiergarten (Tiergarten)",Lehrter Str,10557 Berlin,Tiergarten (Tiergarten),23,Tiergarten,20.754716981132077
738,Auf die Schnelle 'ne Neue? Gepflegter Altbau in idyllischer Umgebung!,https://www.immobilienscout24.de/expose/115587494,681.0,121.0,,802.0,Kaution: 1362.00,1,66.12,2,,,,,1914.0,,Modernisiert,,Gas,,Bedarfsausweis,,Covivio Immobilien GmbH Lüderitzstr. 19-21 13351 Berlin,"Falkenhagener Str. 38a, 13585 Berlin, Spandau (Spandau)",Falkenhagener Str.,13585 Berlin,Spandau (Spandau),38,Spandau,10.2994555353902
739,Großzügige 2 Zimmer Wohnung im Grünen,https://www.immobilienscout24.de/expose/115398455,875.0,166.0,0.0,1041.0,2625.00,1 von 3,85.8,2,1.0,1.0,,True,1995.0,,Gepflegt,Fußbodenheizung,Gas,liegt vor,Verbrauchsausweis,,HOWE Immobilien Brückenstr. 1 10179 Berlin,"Abajstr. 13, 13158 Berlin, Rosenthal (Pankow)",Abajstr.,13158 Berlin,Rosenthal (Pankow),13,Rosenthal,10.198135198135198
740,"Besichtigung Dienstag 04.02. um 18:00 Uhr, Helle Altbauwohnung 3 Zimmer mit Einbauküche u. Laminat!",https://www.immobilienscout24.de/expose/115593741,667.0,120.0,,787.0,2001.00,1,66.5,3,3.0,1.0,,True,1918.0,,Modernisiert,Etagenheizung,Gas,,,,Harry Gerlach Wohnungsunternehmen GmbH Berliner Str. 120 10713 Berlin,"Heidekampweg 1, 12437 Berlin, Baumschulenweg (Treptow)",Heidekampweg,12437 Berlin,Baumschulenweg (Treptow),1,Baumschulenweg,10.030075187969924
741,Schöne helle 2-Zimmerwohnung in gepflegtem Haus. Zeitmietvertrag. Kontakt nur per MAIL!!,https://www.immobilienscout24.de/expose/115293666,549.33,79.0,54.0,682.33,3 x Kaltmiete,3 von 3,59.43,2,1.0,1.0,,,1900.0,2005.0,Vollständig renoviert,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,169.6,Fritzsche Hausverwaltung IWF GmbH Kamillenstraße 62 12203 Berlin,"Scharnweberstraße 113, 13405 Berlin, Reinickendorf (Reinickendorf)",Scharnweberstraße,13405 Berlin,Reinickendorf (Reinickendorf),113,Reinickendorf,9.243311458859162
742,"Klassischer Altbau: Möblierte 3-Zimmer-Wohnung, hell und ruhig, langfristig zu vermieten",https://www.immobilienscout24.de/expose/115429047,1100.0,280.0,0.0,1380.0,3300.00,3 von 5,82.0,3,2.0,1.0,,True,1900.0,,Gepflegt,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,Birke-Immobilien Zähringerstr. 8 10707 Berlin,"10779 Berlin, Schöneberg (Schöneberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10779 Berlin,Schöneberg (Schöneberg),,Schöneberg,13.414634146341463
743,1 Z. Wohnung am U-Bahnhof Rehberge,https://www.immobilienscout24.de/expose/115582218,374.0,60.0,55.0,489.0,1122.00,3 von 4,34.0,1,,1.0,,,1900.0,,Gepflegt,Zentralheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,207.0,CB Property Management GmbH,"Otawistr. 15, 13351 Berlin, Wedding (Wedding)",Otawistr.,13351 Berlin,Wedding (Wedding),15,Wedding,11.0
744,Schönes Wohnhaus nahe Ikea - Top Etagenwohnung,https://www.immobilienscout24.de/expose/83976863,744.0,98.0,,842.0,2232.00,4 von 4,62.0,2,,1.0,,,1936.0,2019.0,Erstbezug nach Sanierung,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,131.0,Michael Mitulla Hausverwaltung Am Pichelssee 26 13595 Berlin,"Heidereuterstraße 18, 13597 Berlin, Spandau (Spandau)",Heidereuterstraße,13597 Berlin,Spandau (Spandau),18,Spandau,12.0
745,"Lankwitz: 1a Top Moderne 4-Zi.-Komfort-Whg. in Stadtvilla, 138 m², Terrasse",https://www.immobilienscout24.de/expose/84263333,1929.0,244.0,157.0,2330.0,5785.00,0 von 2,137.76,4,3.0,2.0,,True,2012.0,,Neuwertig,Blockheizkraftwerke,,,,,Profund KG Württembergallee 25 14052 Berlin,"12249 Berlin, Lankwitz (Steglitz) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,12249 Berlin,Lankwitz (Steglitz),,Lankwitz,14.00261324041812
746,süße Singlewohnung am Lutherplatz in Spandau,https://www.immobilienscout24.de/expose/114429860,415.07,71.0,,486.07,1245.21,4,38.0,1,,,,,1900.0,,Gepflegt,Elektro-Heizung,Strom,liegt vor,Verbrauchsausweis,96.7,EB IMMOBILIENMANAGEMENT GmbH Kaiserin-Augusta-Allee 113 10553 Berlin,"Lynarstraße 13, 13585 Berlin, Spandau (Spandau)",Lynarstraße,13585 Berlin,Spandau (Spandau),13,Spandau,10.922894736842105
747,+LIVE & LIVESTYLE in BERLINs-EUROPE-CITY-SINGLE LIVING+,https://www.immobilienscout24.de/expose/115286662,675.0,48.6,50.0,773.6,2025,4 von 6,27.0,2,1.0,1.0,True,True,2019.0,2019.0,Erstbezug,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,,Bärlin Housing GmbH 10711 Berlin,"10557 Berlin, Britz (Neukölln) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,10557 Berlin,Britz (Neukölln),,Britz,25.0
748,Dachgeschosswohnung in Altstadt-Spandau!,https://www.immobilienscout24.de/expose/115573874,720.0,78.0,,798.0,2160,3 von 3,60.0,2,,,,True,,2020.0,,,,,,,ALEPA Real Estate GmbH Tauentzienstraße 6 10789 Berlin,"Havelstraße 18, 13597 Berlin, Spandau (Spandau)",Havelstraße,13597 Berlin,Spandau (Spandau),18,Spandau,12.0
749,Singlewohnung in gediegenem Altbau,https://www.immobilienscout24.de/expose/114781197,373.28,71.0,45.0,489.28,3 Nettokaltmieten,0 von 5,38.82,1,,1.0,,,1905.0,,Gepflegt,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,196.0,EB IMMOBILIENMANAGEMENT GmbH Kaiserin-Augusta-Allee 113 10553 Berlin,"Exerzierstraße 25, 13357 Berlin, Wedding (Wedding)",Exerzierstraße,13357 Berlin,Wedding (Wedding),25,Wedding,9.615662029881504
750,Möbliertes Apartment direkt am Kurfürstendamm! Ab sofort,https://www.immobilienscout24.de/expose/111433208,925.0,55.0,45.0,1025.0,3 Nettokaltmieten,4 von 5,37.0,1,1.0,1.0,,True,1959.0,,Saniert,Öl-Heizung,Öl,liegt vor,Verbrauchsausweis,163.0,Trad Immobilien GmbH Lützowufer 26 10787 Berlin,"Kurfürstendamm 167, 10707 Berlin, Wilmersdorf (Wilmersdorf)",Kurfürstendamm,10707 Berlin,Wilmersdorf (Wilmersdorf),167,Wilmersdorf,25.0
751,CITY-CONCEPT: Jugenstil-Komfortaltbau in der Rykestraße 50 - Umfassende Kernsanierung - Erstbezug -,https://www.immobilienscout24.de/expose/114379903,2491.0,149.0,70.0,2710.0,3 Nettokaltmieten,2,99.65,4,2.0,1.0,,True,1900.0,2019.0,Erstbezug nach Sanierung,Zentralheizung,Gas,liegt vor,Bedarfsausweis,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19c 10629 Berlin,"Rykestraße 50, 10405 Berlin, Prenzlauer Berg (Prenzlauer Berg)",Rykestraße,10405 Berlin,Prenzlauer Berg (Prenzlauer Berg),50,Prenzlauer Berg,24.997491219267435
752,Moderne Dachgeschosswohnung in herrschaftlicher Stadtvilla in Berlin-Grunewald !,https://www.immobilienscout24.de/expose/111167397,4550.0,1070.0,0.0,5620.0,13650.00(3 Nettokaltmieten),,238.0,4,2.0,2.0,True,True,1909.0,2019.0,Vollständig renoviert,Gas-Heizung,Gas,laut Gesetz nicht erforderlich,,,CP-Claudia Pleyer Immobilien Höhmannstrasse 9 14193 Berlin-Grunewald,"14193 Berlin, Grunewald (Wilmersdorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",,14193 Berlin,Grunewald (Wilmersdorf),,Grunewald,19.11764705882353
753,Helle Wohnung in attraktivem Neubau in ruhiger Lage,https://www.immobilienscout24.de/expose/115440276,1500.0,277.0,0.0,1777.0,4500,4 von 6,84.0,2,1.0,1.0,True,True,2017.0,,,,Fernwärme,liegt vor,Bedarfsausweis,,Home HT GmbH,"Heubnerweg 7, 14059 Berlin, Charlottenburg (Charlottenburg)",Heubnerweg,14059 Berlin,Charlottenburg (Charlottenburg),7,Charlottenburg,17.857142857142858
754,"Einzigartige, helle Wohnung mit privater Dachterrasse",https://www.immobilienscout24.de/expose/115440220,2104.0,204.0,,2308.0,6312,5 von 5,124.0,3,2.0,1.0,True,True,,2015.0,,,,liegt zur Besichtigung vor,,,Home HT GmbH,"Gubitzstraße 51C, 10409 Berlin, Prenzlauer Berg (Prenzlauer Berg)",Gubitzstraße,10409 Berlin,Prenzlauer Berg (Prenzlauer Berg),51,Prenzlauer Berg,16.967741935483872
755,Hochwertige Neubauwohnung in super Lage,https://www.immobilienscout24.de/expose/115440245,1380.0,284.0,0.0,1664.0,4140,1,72.0,3,2.0,1.0,True,True,2019.0,,Erstbezug,,,,,,Home HT GmbH,"Stallschreiberstraße 32a, 10179 Berlin, Kreuzberg (Kreuzberg)",Stallschreiberstraße,10179 Berlin,Kreuzberg (Kreuzberg),32,Kreuzberg,19.166666666666668
756,Reizvolle Altbauwohnung in super Lage,https://www.immobilienscout24.de/expose/115440312,1070.0,270.0,0.0,1340.0,4140,1,62.0,2,1.0,1.0,,True,,2019.0,Saniert,,,liegt zur Besichtigung vor,,,Home HT GmbH,"Detmolder Straße 9, 10715 Berlin, Wilmersdorf (Wilmersdorf)",Detmolder Straße,10715 Berlin,Wilmersdorf (Wilmersdorf),9,Wilmersdorf,17.258064516129032
757,"Wunderschöne, frisch sanierte Altbauwohnung",https://www.immobilienscout24.de/expose/115440371,1404.0,330.0,0.0,1754.0,4212,3,92.0,3,2.0,1.0,,True,,,,,,liegt zur Besichtigung vor,,,Home HT GmbH,"Spandauer Damm 54, 14059 Berlin, Charlottenburg (Charlottenburg)",Spandauer Damm,14059 Berlin,Charlottenburg (Charlottenburg),54,Charlottenburg,15.26086956521739
758,Großzügige Neubauwohnung mit toller Fensterfront,https://www.immobilienscout24.de/expose/115440413,1458.0,320.0,0.0,1778.0,4374,3,84.0,3,1.0,1.0,,True,,,,,,,,,Home HT GmbH,"Mengerzeile 5-7, 12435 Berlin, Treptow (Treptow)",Mengerzeile,12435 Berlin,Treptow (Treptow),5,Treptow,17.357142857142858
759,Elegante Neubauwohnung mit toller Küche in schöner Wohngegend,https://www.immobilienscout24.de/expose/115440444,1150.0,350.0,0.0,1500.0,3450,1,80.0,3,2.0,2.0,,True,,,,,,,,,Home HT GmbH,"Möwenweg 21, 12683 Berlin, Biesdorf (Marzahn)",Möwenweg,12683 Berlin,Biesdorf (Marzahn),21,Biesdorf,14.375
760,Außergewöhnliche Luxuswohnung in Bestlage Bleibtreustraße am Kurfürstendamm - Hochklassig möbliert -,https://www.immobilienscout24.de/expose/113751376,3300.0,320.0,0.0,3620.0,3450,2,110.0,3,2.0,2.0,True,True,2017.0,,Neuwertig,Zentralheizung,Fernwärme,liegt vor,Bedarfsausweis,,CITY-CONCEPT Gesellschaft für Immobilienmanagement mbH Niebuhrstraße 19 c 10629 Berlin,"Bleibtreustraße 25, 10707 Berlin, Charlottenburg (Charlottenburg)",Bleibtreustraße,10707 Berlin,Charlottenburg (Charlottenburg),25,Charlottenburg,30.0
