Titel,Url,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution o. Genossenschaftsanteile,Typ,Etage,Wohnfläche ca.,Bezugsfrei ab,Zimmer,Badezimmer,Balkon/ Terrasse,Personenaufzug,Wohnberechtigungsschein erforderlich,Baujahr,Heizungsart,Wesentliche Energieträger,Energieausweis,Energieausweistyp,Anbieter,Adreese
Raus aus den alten Gemäuern und rein in das neue Familiennest.,https://www.immobilienscout24.de/expose/115619845,"1.029,58 €","160,26 €","77,70 €","1.267,54 €",3088.74,Sonstige,1,"97,13 m²",01.03.2020,4,,True,True,,2019,Fernwärme,,,Bedarfsausweis,WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH/Zusatzaccount Werbellinstraße 12 12053 Berlin,"Mausohrweg 10, 12589 Berlin, Rahnsdorf (Köpenick)"
Neubau!Helle 3-Zimmer-WE in Prenzlauer Berg mit 2 Balkonen und EBK!Bes.: 8.2.2020 um 12:30 Uhr!,https://www.immobilienscout24.de/expose/115617141,1.500 €,230 €,120 €,1.850 €,"4.500,- €",Etagenwohnung,3 von 7,"132,88 m²",sofort,3,1,True,True,,2016,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,G. Gawehn Grundstücksverwaltung GmbH Peter-Vischer-Str. 2 12157 Berlin,"Naugarder Str. 17, 10409 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
Die beste Wohnung für Sonnenanbeter!,https://www.immobilienscout24.de/expose/115619846,"511,98 €","80,45 €","39,01 €","631,44 €",1535.94,Sonstige,2,"48,76 m²",01.03.2020,2,,True,True,,2019,Fernwärme,,,Bedarfsausweis,WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH/Zusatzaccount Werbellinstraße 12 12053 Berlin,"Mausohrweg 4, 12589 Berlin, Rahnsdorf (Köpenick)"
+++ Altbau! +++ Familienwohnung! +++,https://www.immobilienscout24.de/expose/115617595,1.170 €,145 €,100 €,1.415 €,"3.510,00",Etagenwohnung,1 von 4,"105,92 m²",01.03.2020,4,1,True,,,1910,Gas-Heizung,Erdgas leicht,liegt vor,Bedarfsausweis,SOLANO Immobilienmanagement GmbH Germaniastr. 18-20 12099 Berlin,"Handjerystr. 34, 12489 Berlin, Adlershof (Treptow)"
3 Zimmer Wohnung- WG geeignet!,https://www.immobilienscout24.de/expose/115618382,1.899 €,140 €,nicht in Nebenkosten enthalten,2.039 € (zzgl. Heizkosten),5400,Etagenwohnung,4 von 5,110 m²,15.02.2020,3,1,True,,,1900,Etagenheizung,Erdgas leicht,liegt vor,Verbrauchsausweis,ALEPA Real Estate GmbH Tauentzienstraße 6 10789 Berlin,"Dudenstraße 24, 10965 Berlin, Kreuzberg (Kreuzberg)"
attraktives Dachgeschoss nahe Schloßstraße - PARKETT *** KAMIN *** TERRASSE,https://www.immobilienscout24.de/expose/115616807,1.360 €,136 €,70 €,1.496 €,4080,Dachgeschoss,4 von 4,68 m²,01.02.20,2,1,True,True,,2017,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,BRH Berlin Residential Investment GmbH Kurfürstendamm 96 10709 Berlin,"12163 Berlin, Steglitz (Steglitz) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
3 Zimmer mit Balkon,https://www.immobilienscout24.de/expose/115619848,"789,14 €","118,37 €","57,39 €","964,90 €",2367.42,Sonstige,2,"71,74 m²",01.03.2020,3,,True,True,,2019,Fernwärme,,,Bedarfsausweis,WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH/Zusatzaccount Werbellinstraße 12 12053 Berlin,"Mausohrweg 2, 12589 Berlin, Rahnsdorf (Köpenick)"
Erstbezug – Traumwohnung sucht Mieter,https://www.immobilienscout24.de/expose/115619849,"433,89 €","68,84 €","33,38 €","536,11 €",1301.67,Sonstige,2,"41,72 m²",01.03.2020,2,,True,True,,2019,Fernwärme,,,Bedarfsausweis,WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH/Zusatzaccount Werbellinstraße 12 12053 Berlin,"Mausohrweg 2, 12589 Berlin, Rahnsdorf (Köpenick)"
Neubauwohnung – Einfach mal die Ersten sein!,https://www.immobilienscout24.de/expose/115619850,"451,24 €","72,29 €","35,05 €","558,58 €",1353.72,Sonstige,1,"43,81 m²",01.03.2020,2,,True,True,,2019,Fernwärme,,,Bedarfsausweis,WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH/Zusatzaccount Werbellinstraße 12 12053 Berlin,"Mausohrweg 2, 12589 Berlin, Rahnsdorf (Köpenick)"
3 Zimmer mit Blick ins Grüne,https://www.immobilienscout24.de/expose/115619852,"821,74 €","126,84 €","61,50 €","1.010,08 €",2465.22,Sonstige,2,"76,87 m²",01.03.2020,3,,True,True,,2019,Fernwärme,,,Bedarfsausweis,WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH/Zusatzaccount Werbellinstraße 12 12053 Berlin,"Mausohrweg 6, 12589 Berlin, Rahnsdorf (Köpenick)"
Dachgeschosswohnung - Für den besonderen Überblick!,https://www.immobilienscout24.de/expose/115619853,"707,49 €","96,48 €","46,78 €","850,75 €",2122.47,Sonstige,3,"58,47 m²",01.03.2020,3,,True,True,,2019,Fernwärme,,,Bedarfsausweis,WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH/Zusatzaccount Werbellinstraße 12 12053 Berlin,"Mausohrweg 4, 12589 Berlin, Rahnsdorf (Köpenick)"
"Erstbezug – Schöne, gemütliche 2 Zimmerwohnung",https://www.immobilienscout24.de/expose/115619847,"592,10 €","93,04 €","45,11 €","730,25 €",1776.30,Sonstige,1,"56,39 m²",01.03.2020,2,,True,True,,2019,Fernwärme,,,Bedarfsausweis,WOBEGE Wohnbauten- und Beteiligungsgesellschaft mbH/Zusatzaccount Werbellinstraße 12 12053 Berlin,"Mausohrweg 4, 12589 Berlin, Rahnsdorf (Köpenick)"
"Attraktive, gepflegte 2-Zimmer-Wohnung in Tiergarten, Berlin",https://www.immobilienscout24.de/expose/115620908,640 €,110 €,nicht in Nebenkosten enthalten,750 € (zzgl. Heizkosten),"1900,00",Etagenwohnung,4 von 4,"67,2 m²",15.02.2020,2,1,,,,1900,Etagenheizung,Gas,liegt vor,Verbrauchsausweis,,"Beusselstraße 00, 10553 Berlin, Tiergarten (Tiergarten)"
Herzlich Willkommen im neuen Zuhause,https://www.immobilienscout24.de/expose/115620933,"433,90 €","136,54 €","inkl. 51,09 €","570,44 €","Kaution: 1.301,00 EUR",Erdgeschosswohnung,0,"41,1 m²",Nach Vereinbarung,"1,5",,,,,1937,Fernwärme,Fernwärme,,,Deutsche Wohnen Gruppe,"Dettelbacher Weg 36, 13189 Berlin, Pankow (Pankow)"
"Suchen Sie 2,5 Zimmer?",https://www.immobilienscout24.de/expose/115620939,"571,52 €","128,46 €",nicht in Nebenkosten enthalten,"699,98 € (zzgl. Heizkosten)","Kaution: 1.714,00 EUR",Etagenwohnung,1,"58,98 m²",15.02.2020,"2,5",,True,,,1955,Etagenheizung,Gas,,Bedarfsausweis,Deutsche Wohnen Gruppe,"Cautiusstr. 25C, 13587 Berlin, Spandau (Spandau)"
"FREITAG 7.02.2020 BESICHTIGUNG 17:00 Uhr*TOP*3-Zi. Whg.*sonniger Balkon, Aufzug und mehr...",https://www.immobilienscout24.de/expose/115622350,1.184 €,1 €,inkl. 1 €,1.184 €,,Etagenwohnung,3 von 5,"74,31 m²",sofort,3,1,True,True,,1999,Zentralheizung,Gas,liegt vor,Bedarfsausweis,IBF Immobilienkontor GmbH Torstraße 114 10119 Berlin - Mitte,"Käthe-Niederkirchner-Sraße 0, 10407 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
WBS erforderlich. Wohnen für Senioren ab 60 Jahren mit WBS für ältere,https://www.immobilienscout24.de/expose/115621128,"244,71 €",131 €,inkl. 38 €,"375,71 €","640,92 EUR",Erdgeschosswohnung,,"35,34 m²",sofort,1,,,,True,1976,Öl-Heizung,"Öl, Strom",liegt vor,Verbrauchsausweis,Gewobag Wohnungsbau-Aktiengesellschaft Berlin Berliner Str. 42 13507 Berlin,"Spießweg 38A, 13437 Berlin, Wittenau (Reinickendorf)"
Erstbezug nach Sanierung.,https://www.immobilienscout24.de/expose/115630610,"307,31 €","114,20 €","inkl. 35,08 €","421,51 €","Kaution: 921,00 EUR",Etagenwohnung,1,"33,93 m²",16.02.2020,1,,,True,,1983,Fernwärme,Fernwärme,,Verbrauchsausweis,Deutsche Wohnen Gruppe,"Blumberger Damm 4, 12683 Berlin, Biesdorf (Marzahn)"
"NUR MIT WBS!!! Renovierte, gut geschnittene 3-Zimmer-Wohnung mit Balkon, Dusche und Laminat",https://www.immobilienscout24.de/expose/115623222,"556,22 €",290 €,in Nebenkosten enthalten,"846,22 €","1668,66 EUR",Etagenwohnung,1 von 4,"74,56 m²",sofort,3,1,True,True,,1988,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,Janis Szisch Immobilien Maggy-Breittmayer-Pfad 10 12205 Berlin,"Lindauer Allee 47, 13407 Berlin, Reinickendorf (Reinickendorf)"
"LOFT Klassiker ab 04/2020 zu vermieten, Nähe Potsdamer Platz",https://www.immobilienscout24.de/expose/115638777,4.875 €,"614,38 €",keine Angabe,4.875 € (zzgl. Heizkosten),3 MM,Loft,1,195 m²,,3,2,,True,,2010,Etagenheizung,Erdgas leicht,,,Loft & more GmbH Strelitzer Str. 70 10115 Berlin,"10963 Berlin, Kreuzberg (Kreuzberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Mögen Sie abgezogene Dielenböden?,https://www.immobilienscout24.de/expose/115616771,"469,95 €","253,60 €","inkl. 143,34 €","723,55 €","Kaution: 1.409,00 EUR",Etagenwohnung,0,"50,12 m²",15.03.2020,"1,5",,True,,,1928,Fernwärme,Fernwärme,,,Deutsche Wohnen Gruppe,"Armbrustweg 16, 13409 Berlin, Reinickendorf (Reinickendorf)"
"Schöne 3-Zimmer-Wohnung mit EBK und Balkon in Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/115613869,1.200 €,keine Angabe,nicht in Nebenkosten enthalten,1.200 € (zzgl. Nebenkosten & Heizkosten),,Etagenwohnung,3 von 5,115 m²,01.03.2020,3,1,True,,,,,,,,,"10587 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Modernisierte Stuckaltbauwohnung,https://www.immobilienscout24.de/expose/115613688,400 €,90 €,nicht in Nebenkosten enthalten,490 € (zzgl. Heizkosten),"1200,00",Etagenwohnung,3 von 3,53 m²,sofort,2,1,True,,,1898,Nachtspeicheröfen,Strom,liegt vor,Bedarfsausweis,Hausverwaltung Hildebrandt Walterstr. 26 12051 Berlin,"Delbrückstr. 1, 12051 Berlin, Neukölln (Neukölln)"
Gepflegte 3-zimmer Wohnung mit Balkon,https://www.immobilienscout24.de/expose/115613997,"794,16 €",126 €,100 €,"1.020,16 €","2382,48",Erdgeschosswohnung,,"88,24 m²",sofort,3,1,True,,,1977,Zentralheizung,Öl,liegt vor,Verbrauchsausweis,Jeanette Grau Hausverwaltung Hindenburgdamm 8 12203 Berlin,"Machnowerstraße 65, 14165 Berlin, Zehlendorf (Zehlendorf)"
"sonnige Wohung mit großer Dachterrasse für max. 3 Personen, BT.Mittw.5.2.20 um 17Uhr",https://www.immobilienscout24.de/expose/115614756,802 €,253 €,in Nebenkosten enthalten,1.055 €,3 Nettokaltmieten auch in 3 Monatsraten zahlbar,Terrassenwohnung,2 von 3,"92,15 m²",sofort bzw. nach Vereinbarung,3,1,True,,,1998,Zentralheizung,Nahwärme,liegt vor,Bedarfsausweis,TEMA Terrain Geschäftsführung GmbH Vermietungsbüro: Seylerstr. 3 14109 Berlin,"Erna-Sack-Str. 18, 13591 Berlin, Staaken (Spandau)"
Quartier Zwei - schöne Erdgeschosswohnung in der nähe vom Wannsee.,https://www.immobilienscout24.de/expose/115614810,1.450 €,280 €,in Nebenkosten enthalten,1.730 €,4350,Erdgeschosswohnung,,"110,58 m²",01.04.2020,4,1,,,,2009,Zentralheizung,Gas,,,Quartier Zwei Immobilienagentur Lützowstraße 71 10785 Berlin,"14089 Berlin, Kladow (Spandau), Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Erstbezug, lichtdurchflutete moderne Wohnung, großzügig in toller Lage",https://www.immobilienscout24.de/expose/115614769,724 €,200 €,in Nebenkosten enthalten,924 €,"2172,00",Etagenwohnung,4 von 6,"48,3 m²",01.03.2020,2,1,True,True,,2019,,,liegt vor,Bedarfsausweis,,"Mengerzeile 11, 12435 Berlin, Treptow (Treptow)"
"Sonnige, perfekt geschnittene 5-Zimmer Familien-Wohnung mit Penthouse Flair",https://www.immobilienscout24.de/expose/115614800,"2.786,39 €","513,61 €",in Nebenkosten enthalten,3.300 €,"8.359,17",Etagenwohnung,4 von 5,177 m²,,5,2,True,True,,2014,Zentralheizung,Gas,liegt vor,Bedarfsausweis,BIR Berlin International Realty GmbH Kurfürstendamm 52 10707 Berlin,"10317 Berlin, Lichtenberg (Lichtenberg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
**ERSTBEZUG** 2-Zimmer-Wohnung im beliebten Friedrichshain,https://www.immobilienscout24.de/expose/115615043,"1.005,30 €",134 €,in Nebenkosten enthalten,"1.139,30 €",3 Nettokaltmieten,Erdgeschosswohnung,0 von 6,"55,85 m²",ab sofort/ nach Vereinbarung,2,1,,True,,2019,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,Mittelpunkt Immobilien Consult GmbH Scharnweberstr. 2 13405 Berlin,"Kopernikusstraße 25b, 10245 Berlin, Friedrichshain (Friedrichshain)"
Panoramafenster in die Natur - Modernes Wohnen im Denkmal,https://www.immobilienscout24.de/expose/115615212,"1.429,83 €","168,48 €","257,18 €","1.855,49 €",3 Nettokaltmieten,Dachgeschoss,2 von 2,"112,32 m²",ab sofort,3,1,True,,,1952,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,ROMI Immobilien GmbH Stralauer Platz 39 10243 Berlin,"Südostallee 120, 12487 Berlin, Johannisthal (Treptow)"
"Exklusive 1-Zimmer-Wohnung mit Einbauküche in Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/115615219,755 €,70 €,in Nebenkosten enthalten,825 €,2265,Etagenwohnung,12 von 18,"29,6 m²",15.02.2020,1,1,,True,,,,,,,,"Andreasstrasse 20, 10243 Berlin, Friedrichshain (Friedrichshain)"
Modernisierte Wohnung mitten in Kreuzberg!,https://www.immobilienscout24.de/expose/115615442,"636,72 €","177,14 €","inkl. 55,05 €","813,86 €","Kaution: 1.910,00 EUR",Etagenwohnung,6,"49,55 m²",Nach Vereinbarung,"1,5",,True,True,,1961,Fernwärme,Fernwärme,,Verbrauchsausweis,Deutsche Wohnen Gruppe,"Franz-Künstler-Str. 15, 10969 Berlin, Kreuzberg (Kreuzberg)"
Modernisierte Familienwohnung in Kreuzberg!,https://www.immobilienscout24.de/expose/115615438,1.038 €,"319,06 €","inkl. 95,62 €","1.357,06 €","Kaution: 3.114,00 EUR",Etagenwohnung,3,"86,07 m²",Nach Vereinbarung,"2,2",,True,True,,1966,Fernwärme,Fernwärme,,Verbrauchsausweis,Deutsche Wohnen Gruppe,"Franz-Künstler-Str. 7A, 10969 Berlin, Kreuzberg (Kreuzberg)"
Besichtigung am Donnerstag - 06.02.2020 um 08.15 Uhr - Klein aber mein....,https://www.immobilienscout24.de/expose/115615769,"395,23 €","100,77 €",in Nebenkosten enthalten,496 €,"1.185,69",Etagenwohnung,3 von 4,"44,14 m²",sofort,1,,,,,1900,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,Neue Kantstr. 14 14057 Berlin,"Sonnenallee 66, 12045 Berlin, Neukölln (Neukölln)"
"1.000 €, 40 m², 1,5 Zimmer",https://www.immobilienscout24.de/expose/115616088,1.000 €,keine Angabe,nicht in Nebenkosten enthalten,1.000 € (zzgl. Nebenkosten & Heizkosten),,Etagenwohnung,,40 m²,,"1,5",,True,True,,,,,,,Fennstraße 34 13353 Berlin,"Kieler Straße 1, 10115 Berlin, Mitte (Mitte)"
Modernisierte 2-Zimmer + EBK,https://www.immobilienscout24.de/expose/115615446,"572,87 €","176,75 €","inkl. 63,51 €","749,62 €","Kaution: 1.718,00 EUR",Etagenwohnung,2,"54,47 m²",Nach Vereinbarung,2,,,,,1937,Fernwärme,Fernwärme,,,Deutsche Wohnen Gruppe,"Haßfurter Weg 6, 13189 Berlin, Pankow (Pankow)"
Netter Nachmieter schnellstmöglich gesucht,https://www.immobilienscout24.de/expose/115616751,"550,34 €","248,61 €","inkl. 131,89 €","798,95 €","Kaution: 1.872,00 EUR",Dachgeschoss,3,"59,95 m²",Nach Vereinbarung,2,,,,,1928,Fernwärme,Öl,,Verbrauchsausweis,Deutsche Wohnen Gruppe,"Huttwiler Weg 28A, 13407 Berlin, Reinickendorf (Reinickendorf)"
Schlüterstraße - Großzügiger Berliner Altbau - WIRD NEU SANIERT-- WOHNEN UND ARBEITEN -,https://www.immobilienscout24.de/expose/115616111,2.240 €,330 €,in Nebenkosten enthalten,2.570 €,drei Netto-Kaltmieten,Etagenwohnung,2 von 5,140 m²,nach Vereinbarung,3,1,True,,,1900,Zentralheizung,KWK fossil,liegt vor,Bedarfsausweis,ZANDER Immobilien e.K. Bornstedter Strasse 8 10711 Berlin,"10625 Berlin, Charlottenburg (Charlottenburg) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
Frisch modernisierte Wohnung im Herzen Berlins!,https://www.immobilienscout24.de/expose/115609223,"672,93 €","195,23 €","inkl. 59,57 €","868,16 €","Kaution: 2.018,00 EUR",Etagenwohnung,4,"53,62 m²",Nach Vereinbarung,2,,True,True,,1963,Fernwärme,Fernwärme,,Verbrauchsausweis,Deutsche Wohnen Gruppe,"Neuenburger Str. 22B, 10969 Berlin, Kreuzberg (Kreuzberg)"
1 Zi. Wohnung mit Balkon in Moabit,https://www.immobilienscout24.de/expose/115608577,525 €,65 €,nicht in Nebenkosten enthalten,590 € (zzgl. Heizkosten),"Kaution: 1.575,00 EUR",Etagenwohnung,2,"36,8 m²",Nach Vereinbarung,1,,True,,,1900,Etagenheizung,,,Bedarfsausweis,Helvetica Services GmbH Kantstr. 115 10627 Berlin,"Berlichingenstr. 5, 10553 Berlin, Tiergarten (Tiergarten)"
3-Zimmer-Wohnung mit Balkon in Friedrichshagen Berlin,https://www.immobilienscout24.de/expose/115610295,1.170 €,230 €,in Nebenkosten enthalten,1.400 €,3510,Etagenwohnung,1 von 4,114 m²,ab sofort,3,2,True,,,unbekannt,Zentralheizung,Erdgas leicht,liegt vor,Verbrauchsausweis,,"Bruno-Wille-Str. 7, 12487 Berlin, Friedrichshagen (Köpenick)"
"1.400 €, 95 m², 4 Zimmer",https://www.immobilienscout24.de/expose/115610529,1.400 €,keine Angabe,nicht in Nebenkosten enthalten,1.680 € (zzgl. Nebenkosten & Heizkosten),,Dachgeschoss,,95 m²,,4,,True,True,,,,,,,,"Feldstraße 48, 13585 Berlin, Spandau (Spandau)"
"Erstbezug nach Sanierung mit EBK: freundliche 2-Zimmer-Wohnung in Spandau, Berlin",https://www.immobilienscout24.de/expose/115610436,585 €,81 €,nicht in Nebenkosten enthalten,666 € (zzgl. Heizkosten),"1755,00€",Etagenwohnung,1 von 5,54 m²,ab sofort,2,1,,,,1926,Gas-Heizung,,,,,"Pichelsdorfer Straße 29, 13595 Berlin, Spandau (Spandau)"
"Rote Insel! 3 Zi. Dachterr.-Wohnung, frisch renoviert, sonnig!",https://www.immobilienscout24.de/expose/115609959,1.199 €,115 €,110 €,1.424 €,3 NKM,Dachgeschoss,5 von 6,"104,43 m²",sofort,3,1,True,,,1907,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,REALINVEST IMMOBILIEN GMBH Kurfürstendamm 194 10707 Berlin,"Leberstraße 22, 10829 Berlin, Schöneberg (Schöneberg)"
Grüner Daumen gesucht!,https://www.immobilienscout24.de/expose/115610907,840 €,140 €,55 €,1.035 €,3 NKM,Etagenwohnung,0 von 4,"80,07 m²",sofort,3,1,True,True,,1997,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,Immoma Gesellschaft für Immobilienmarketing mbH Kurfürstendamm 136 10711 Berlin,"Am Schloßberg 8, 12559 Berlin, Köpenick (Köpenick)"
Neubau! 4-Zimmer-Wohnung mit Balkon im hippen Friedrichshain,https://www.immobilienscout24.de/expose/115611427,1.627 €,211 €,in Nebenkosten enthalten,1.838 €,3 Nettokaltmieten,Etagenwohnung,4 von 6,"87,93 m²",ab sofort/ nach Vereinbarung,4,2,True,True,,2019,Fußbodenheizung,Fernwärme,liegt vor,Bedarfsausweis,Mittelpunkt Immobilien Consult GmbH Scharnweberstr. 2 13405 Berlin,"Kopernikusstraße 25B, 10245 Berlin, Friedrichshain (Friedrichshain)"
**TOP-LAGE** geräumige 5-Zimmerwohnung mit EBK und Wintergarten in direkter Nähe zum Tegeler See!,https://www.immobilienscout24.de/expose/115611518,"1.482,98 €","315,28 €",in Nebenkosten enthalten,"1.798,26 €",drei Nettokaltmieten,Etagenwohnung,4 von 5,"116,77 m²",ab sofort,5,2,True,True,,1992,Zentralheizung,Erdgas schwer,liegt vor,Verbrauchsausweis,Mittelpunkt Immobilien Consult GmbH Scharnweberstr. 2 13405 Berlin,"Am Tegeler Hafen 1, 13507 Berlin, Tegel (Reinickendorf)"
Erstbezug nach Sanierung mit Einbauküche: exklusive 1-Zimmer-Wohnung in Berlin Wedding,https://www.immobilienscout24.de/expose/115611908,590 €,260 €,in Nebenkosten enthalten,850 €,"1500,00",Etagenwohnung,3 von 5,38 m²,ab sofort,1,1,,,,1900,Zentralheizung,Öl,,,,"Triftstrasse 7, 13353 Berlin Wedding, Wedding (Wedding)"
Jetzt wird´s gemütlich !,https://www.immobilienscout24.de/expose/115611847,772 €,110 €,78 €,960 €,3 NKM,Etagenwohnung,1 von 4,"73,51 m²",sofort,2,1,True,True,,1997,Zentralheizung,Fernwärme,liegt vor,Verbrauchsausweis,Immoma Gesellschaft für Immobilienmarketing mbH Kurfürstendamm 136 10711 Berlin,"Am Schloßberg 8, 12559 Berlin, Köpenick (Köpenick)"
"Visit: Do. 06.02.20- 8:30 Uhr- tolle 4 Zi. DG Wohng, große Wohnküche, 2 Terrassen, 2 Bäder, EBK, GEH",https://www.immobilienscout24.de/expose/115612069,1.850 €,193 €,nicht in Nebenkosten enthalten,2.043 € (zzgl. Heizkosten),"5550,00",Dachgeschoss,4 von 4,"143,17 m²",sofort,4,2,True,,,1904,Etagenheizung,Gas,liegt vor,Bedarfsausweis,accept Gebäudemanagement GmbH Weserstr. 15 10247 Berlin,"Beckerstr. 16, 12157 Berlin, Schöneberg (Schöneberg)"
WOHNEN IM GRÜNEN ! RUHIGE SEITENSTRAßE & ARBEITEN & WOHNEN,https://www.immobilienscout24.de/expose/115611796,870 €,131 €,100 €,1.101 €,drei Kaltmieten,Etagenwohnung,1 von 3,"82,51 m²",01.04.2020,3,1,True,True,,1993,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,ZANDER Immobilien e.K. Bornstedter Strasse 8 10711 Berlin,"13465 Berlin, Frohnau (Reinickendorf) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Adlershof: Adlergestell 137: 2-Zi-Wohnung per SOFORT, Besicht.: Freitag, 07.02.2020 um 16:00 Uhr",https://www.immobilienscout24.de/expose/115611798,336 €,165 €,inkl. 55 €,501 €,"1.008,00",Erdgeschosswohnung,,"45,4 m²",ab SOFORT,2,1,,,,,Zentralheizung,,,,Lion Immobilien GmbH Xantener Straße 1 10707 Berlin,"12439 Berlin Adlershof, Niederschöneweide (Treptow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"Schöne, geräumige vier Zimmer Wohnung in Berlin, Wilmersdorf",https://www.immobilienscout24.de/expose/115612463,2.750 €,250 €,in Nebenkosten enthalten,3.000 €,8400,Hochparterre,1 von 7,"148,38 m²",ab sofort,4,2,True,True,,2019,Fußbodenheizung,Fernwärme,liegt vor,,Alexander Knaus,"Heilbronner Straße 10, 10711 Berlin, Wilmersdorf (Wilmersdorf)"
4-Zimmer Wohnung mit Sauna und geräumiger EBK; Terrasse mit Garten; max. 1 Jahr,https://www.immobilienscout24.de/expose/115612484,2.027 €,370 €,in Nebenkosten enthalten,2.467 €,"6081,00€",Terrassenwohnung,,"144,84 m²",sofort,4,1,True,,,1860,Fernwärme,Fernwärme,liegt vor,Verbrauchsausweis,ProImmobilia Verwaltungsgesellschaft für Haus- und Grundbesitz mbH,"Georg-Löwenstein-Str. 12, 10317 Berlin, Lichtenberg (Lichtenberg)"
RUHIGE SEITENSTRAßE - Pankow - NUR MIT WBS - WOHNBERECHTIGUNGSSCHEIN !,https://www.immobilienscout24.de/expose/115612605,"599,27 €","184,07 €",in Nebenkosten enthalten,"783,34 €",drei Kaltmieten,Etagenwohnung,3,"64,23 m²",sofort,2,1,True,True,True,1997,Fußbodenheizung,Fernwärme,liegt vor,Verbrauchsausweis,ZANDER Immobilien e.K. Bornstedter Strasse 8 10711 Berlin,"13189 Berlin, Pankow (Pankow) Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter."
"**Sprengelkiez!** Schöne, sonnige u ruhige 2-Zi-Whg, WG-geeignet, Balkon, Einbauküche",https://www.immobilienscout24.de/expose/115612724,850 €,60 €,nicht in Nebenkosten enthalten,910 € (zzgl. Heizkosten),3 Monatsnettokaltmieten,Etagenwohnung,1 von 5,60 m²,ab sofort,2,1,True,,,1905,Etagenheizung,Gas,liegt zur Besichtigung vor,,,"Burgsdorfstraße 7, 13353 Berlin, Wedding (Wedding)"
"hochwertig/umfassend saniert, VH 2.OG*Lift*2 Balkone*EBK*W-Bad mit Waschmaschine*Dielen",https://www.immobilienscout24.de/expose/115613190,1.150 €,150 €,in Nebenkosten enthalten,1.300 €,3 KM = 3450 €,Etagenwohnung,2 von 5,"54,23 m²",nach Vereinbarung,2,1,True,True,,,,,laut Gesetz nicht erforderlich,,Dr. Ute Richter Immobilien,"Scharnweber Str. 33, 10247 Berlin, Friedrichshain (Friedrichshain)"
Dachgeschoß mit Rundumterrasse *Aufzug*Tiefgarage*,https://www.immobilienscout24.de/expose/115613529,559 €,198 €,in Nebenkosten enthalten,757 €,,Dachgeschoss,5 von 5,"52,13 m²",1.3.2020,1,1,True,True,,1998,Zentralheizung,Gas,liegt vor,Verbrauchsausweis,Kühle Immobilien GbR Holsteinische Str. 8 10717 Berlin,"Lindenstr. 32b, 12555 Berlin, Köpenick (Köpenick)"
Helle Dachgeschosswohnung sucht einen Nachmieter,https://www.immobilienscout24.de/expose/115616757,"556,43 €","240,57 €","inkl. 127,62 €",797 €,"Kaution: 1.669,00 EUR",Dachgeschoss,3,"58,01 m²",01.04.2020,2,,,,,1927,Fernwärme,Fernwärme,,Verbrauchsausweis,Deutsche Wohnen Gruppe,"Huttwiler Weg 36, 13407 Berlin, Reinickendorf (Reinickendorf)"
"Luxuriöse, sehr helle 4 Zimmer Wohnung in Bestlage Prenzlauer Berg",https://www.immobilienscout24.de/expose/115607969,2.299 €,416 €,in Nebenkosten enthalten,2.715 €,3 Kaltmieten,Etagenwohnung,5 von 6,130 m²,ab sofort,4,2,True,True,,2008,Fußbodenheizung,,,,,"Pasteurstrasse 20, 10407 Berlin, Prenzlauer Berg (Prenzlauer Berg)"
